,Name,Sector,Instrument,Assets
0,HDFC Bank Ltd.,Financial,Equity,7.6%
1,Reliance Industries Ltd.,Energy,Equity,7.2%
2,ITC Ltd.,Consumer Staples,Equity,5.1%
3,Infosys Ltd.,Technology,Equity,4.8%
4,State Bank of India,Financial,Equity,4.5%
5,Axis Bank Ltd.,Financial,Equity,4.0%
6,ICICI Bank Ltd.,Financial,Equity,3.2%
7,DCB Bank Ltd.,Financial,Equity,2.9%
8,HCL Technologies Ltd.,Technology,Equity,2.5%
9,Larsen & Toubro Ltd.,Construction,Equity,2.4%
10,Titan Company Ltd.,Consumer Discretionary,Equity,2.4%
11,Bharti Airtel Ltd.,Communication,Equity,2.1%
12,ABB India Ltd.,Capital Goods,Equity,2.1%
13,NTPC Ltd.,Energy,Equity,2.0%
14,Wonderla Holidays Ltd.,Services,Equity,2.0%
15,ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,2.0%
16,Housing Development Finance Corporation Ltd.,Financial,Equity,1.6%
17,Karur Vysya Bank Ltd.,Financial,Equity,1.6%
18,Tata Consultancy Services Ltd.,Technology,Equity,1.6%
19,JTL Industries Ltd,Metals & Mining,Equity,1.6%
20,Lupin Ltd.,Healthcare,Equity,1.5%
21,Bosch Ltd.,Automobile,Equity,1.5%
22,Blue Dart Express Ltd.,Services,Equity,1.4%
23,Ambuja Cements Ltd.,Construction,Equity,1.3%
24,Canara Bank,Financial,Equity,1.3%
25,Indusind Bank Ltd.,Financial,Equity,1.2%
26,Coal India Ltd.,Energy,Equity,1.2%
27,REC Ltd.,Financial,Equity,1.2%
28,Sundram Fasteners Ltd.,Capital Goods,Equity,1.2%
29,Castrol India Ltd.,Energy,Equity,1.1%
30,Natco Pharma Ltd.,Healthcare,Equity,1.1%
31,NLC India Ltd.,Energy,Equity,1.1%
32,NCC Ltd.,Construction,Equity,1.1%
33,Maruti Suzuki India Ltd.,Automobile,Equity,1.1%
34,Grasim Industries Ltd.,Construction,Equity,1.1%
35,Mahindra & Mahindra Ltd.,Automobile,Equity,1.0%
36,Greenpanel Industries Ltd.,Consumer Staples,Equity,1.0%
37,Carborundum Universal Ltd.,Metals & Mining,Equity,1.0%
38,Tata Steel Ltd.,Metals & Mining,Equity,1.0%
39,Marico Ltd.,Consumer Staples,Equity,1.0%
40,Bharat Petroleum Corporation Ltd.,Energy,Equity,1.0%
41,Aster DM Healthcare Ltd.,Healthcare,Equity,1.0%
42,E.I.D. - Parry (India) Ltd.,Consumer Staples,Equity,0.8%
43,UPL Ltd.,Chemicals,Equity,0.8%
44,Astec Lifesciences Ltd.,Chemicals,Equity,0.8%
45,Hero Motocorp Ltd.,Automobile,Equity,0.8%
46,The Karnataka Bank Ltd.,Financial,Equity,0.8%
47,Britannia Industries Ltd.,Consumer Staples,Equity,0.8%
48,Ultratech Cement Ltd.,Construction,Equity,0.6%
49,DLF Ltd.,Construction,Equity,0.5%
50,Finolex Industries Ltd.,Chemicals,Equity,0.5%
51,Johnson Controls - Hitachi Air Conditioning India Ltd.,Consumer Discretionary,Equity,0.4%
