,Name,Sector,Instrument,Assets
0,HDFC Bank Ltd.,Financial,Equity,9.3%
1,Infosys Ltd.,Technology,Equity,6.8%
2,ICICI Bank Ltd.,Financial,Equity,5.5%
3,Reliance Industries Ltd.,Energy,Equity,4.9%
4,Larsen & Toubro Ltd.,Construction,Equity,3.5%
5,NTPC Ltd.,Energy,Equity,3.1%
6,ITC Ltd.,Consumer Staples,Equity,3.1%
7,Axis Bank Ltd.,Financial,Equity,2.6%
8,State Bank of India,Financial,Equity,2.4%
9,Hindustan Unilever Ltd.,Consumer Staples,Equity,2.4%
10,Mahindra & Mahindra Ltd.,Automobile,Equity,2.3%
11,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,2.3%
12,Ultratech Cement Ltd.,Construction,Equity,2.1%
13,Escorts Kubota Ltd.,Automobile,Equity,1.7%
14,Grasim Industries Ltd.,Construction,Equity,1.6%
15,The Indian Hotels Company Ltd.,Services,Equity,1.6%
16,Bajaj Finance Ltd.,Financial,Equity,1.6%
17,United Spirits Ltd.,Consumer Staples,Equity,1.5%
18,HCL Technologies Ltd.,Technology,Equity,1.5%
19,Tech Mahindra Ltd.,Technology,Equity,1.5%
20,Bank Of Baroda,Financial,Equity,1.4%
21,Kei Industries Ltd.,Capital Goods,Equity,1.4%
22,Kajaria Ceramics Ltd.,Construction,Equity,1.4%
23,Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,1.4%
24,Bharti Airtel Ltd. - (Partly Paid up Equity Shares (Rights Issue)),Communication,PPE,1.3%
25,Mphasis Ltd.,Technology,Equity,1.3%
26,Cipla Ltd.,Healthcare,Equity,1.3%
27,Bharat Electronics Ltd.,Capital Goods,Equity,1.2%
28,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,1.2%
29,The Phoenix Mills Ltd.,Construction,Equity,1.1%
30,Syngene International Ltd.,Healthcare,Equity,1.1%
31,Tata Motors Ltd.,Automobile,Equity,1.1%
32,LTIMindtree Ltd.,Technology,Equity,1.0%
33,Coforge Ltd.,Technology,Equity,1.0%
34,Balkrishna Industries Ltd.,Automobile,Equity,0.9%
35,The Federal Bank Ltd.,Financial,Equity,0.9%
36,KNR Constructions Ltd.,Construction,Equity,0.9%
37,VIP Industries Ltd.,Chemicals,Equity,0.9%
38,Mahindra CIE Automotive Ltd.,Metals & Mining,Equity,0.9%
39,Bharat Forge Ltd.,Automobile,Equity,0.9%
40,AIA Engineering Ltd.,Metals & Mining,Equity,0.9%
41,Ajanta Pharma Ltd.,Healthcare,Equity,0.9%
42,Honeywell Automation India Ltd.,Capital Goods,Equity,0.8%
43,Hindustan Aeronautics Ltd.,Capital Goods,Equity,0.8%
44,Jubilant FoodWorks Ltd.,Services,Equity,0.8%
45,Multi Commodity Exchange Of India Ltd.,Services,Equity,0.8%
46,Eicher Motors Ltd.,Automobile,Equity,0.8%
47,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,0.8%
48,Atul Ltd.,Chemicals,Equity,0.8%
49,TeamLease Services Ltd.,Services,Equity,0.8%
50,Container Corporation Of India Ltd.,Services,Equity,0.7%
51,United Breweries Ltd.,Consumer Staples,Equity,0.7%
52,Samvardhana Motherson International Ltd.,Automobile,Equity,0.7%
53,Coromandel International Ltd.,Chemicals,Equity,0.6%
54,UNO Minda Ltd.,Automobile,Equity,0.6%
55,PNC Infratech Ltd.,Construction,Equity,0.6%
56,Gujarat State Petronet Ltd.,Energy,Equity,0.5%
57,Avenue Supermarts Ltd.,Services,Equity,0.5%
58,Sapphire Foods India Ltd.,Services,Equity,0.5%
59,Divi's Laboratories Ltd.,Healthcare,Equity,0.3%
60,Delhivery Ltd.,Services,Equity,0.3%
61,Tube Investments Of India Ltd.,Automobile,Equity,0.3%
62,Voltas Ltd.,Consumer Discretionary,Equity,0.2%
63,Central Depository Services (India) Ltd.,Financial,Equity,0.2%
