,Name,Sector,Instrument,Assets
0,ICICI Bank Ltd.,Financial,Equity,9.1%
1,HDFC Bank Ltd.,Financial,Equity,8.6%
2,Infosys Ltd.,Technology,Equity,6.6%
3,Reliance Industries Ltd.,Energy,Equity,3.5%
4,State Bank of India,Financial,Equity,3.2%
5,NTPC Ltd.,Energy,Equity,3.0%
6,Axis Bank Ltd.,Financial,Equity,3.0%
7,Ultratech Cement Ltd.,Construction,Equity,3.0%
8,Mahindra & Mahindra Ltd.,Automobile,Equity,2.9%
9,Bharti Airtel Ltd.,Communication,Equity,2.9%
10,Larsen & Toubro Ltd.,Construction,Equity,2.8%
11,Hindustan Unilever Ltd.,Consumer Staples,Equity,2.4%
12,Kotak Mahindra Bank Ltd.,Financial,Equity,2.4%
13,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,2.2%
14,ITC Ltd.,Consumer Staples,Equity,2.0%
15,LTIMindtree Ltd.,Technology,Equity,1.6%
16,HCL Technologies Ltd.,Technology,Equity,1.4%
17,Coforge Ltd.,Technology,Equity,1.3%
18,Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,1.3%
19,Persistent Systems Ltd.,Technology,Equity,1.3%
20,Sona BLW Precision Forgings Ltd.,Automobile,Equity,1.3%
21,Hindustan Aeronautics Ltd.,Capital Goods,Equity,1.3%
22,Abbott India Ltd.,Healthcare,Equity,1.2%
23,Torrent Pharmaceuticals Ltd.,Healthcare,Equity,1.2%
24,Siemens Ltd.,Capital Goods,Equity,1.2%
25,PI Industries Ltd.,Chemicals,Equity,1.1%
26,Varun Beverages Ltd.,Consumer Staples,Equity,1.1%
27,Navin Fluorine International Ltd.,Chemicals,Equity,1.1%
28,Trent Ltd.,Services,Equity,1.0%
29,Titan Company Ltd.,Consumer Discretionary,Equity,1.0%
30,Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,1.0%
31,UNO Minda Ltd.,Automobile,Equity,1.0%
32,Nestle India Ltd.,Consumer Staples,Equity,1.0%
33,SBI Life Insurance Company Ltd.,Insurance,Equity,1.0%
34,Timken India Ltd.,Capital Goods,Equity,0.9%
35,Syngene International Ltd.,Healthcare,Equity,0.9%
36,Rolex Rings Ltd,Capital Goods,Equity,0.9%
37,ZF Commercial Vehicle Control Systems India Ltd.,Automobile,Equity,0.9%
38,Dreamfolks Services Ltd.,Services,Equity,0.9%
39,Safari Industries (India) Ltd.,Chemicals,Equity,0.8%
40,Gujarat State Petronet Ltd.,Energy,Equity,0.8%
41,The Federal Bank Ltd.,Financial,Equity,0.7%
42,Mahindra CIE Automotive Ltd.,Metals & Mining,Equity,0.7%
43,Metro Brands Ltd.,Consumer Staples,Equity,0.7%
44,Supreme Industries Ltd.,Chemicals,Equity,0.6%
45,Equitas Small Finance Bank Ltd.,Financial,Equity,0.6%
46,APL Apollo Tubes Ltd.,Metals & Mining,Equity,0.6%
47,H.G. Infra Engineering Ltd.,Construction,Equity,0.6%
48,Interglobe Aviation Ltd.,Services,Equity,0.6%
49,The Phoenix Mills Ltd.,Construction,Equity,0.6%
50,ABB India Ltd.,Capital Goods,Equity,0.6%
51,Bharat Dynamics Ltd.,Capital Goods,Equity,0.6%
52,PB Fintech Ltd.,Services,Equity,0.5%
53,TVS Motor Company Ltd.,Automobile,Equity,0.5%
54,Can Fin Homes Ltd.,Financial,Equity,0.5%
55,Bharat Electronics Ltd.,Capital Goods,Equity,0.5%
56,GAIL (India) Ltd.,Energy,Equity,0.5%
57,Ingersoll-Rand (India) Ltd.,Capital Goods,Equity,0.5%
58,United Spirits Ltd.,Consumer Staples,Equity,0.5%
59,Hindustan Petroleum Corporation Ltd.,Energy,Equity,0.5%
60,Ratnamani Metals & Tubes Ltd.,Metals & Mining,Equity,0.5%
