,Name,Sector,Instrument,Assets
0,HDFC Bank Ltd.,Financial,Equity,6.8%
1,ICICI Bank Ltd.,Financial,Equity,5.0%
2,Infosys Ltd.,Technology,Equity,4.2%
3,State Bank of India,Financial,Equity,3.4%
4,Ultratech Cement Ltd.,Construction,Equity,2.9%
5,Larsen & Toubro Ltd.,Construction,Equity,2.7%
6,Reliance Industries Ltd.,Energy,Equity,2.5%
7,NTPC Ltd.,Energy,Equity,2.2%
8,Axis Bank Ltd.,Financial,Equity,2.1%
9,Hindustan Unilever Ltd.,Consumer Staples,Equity,2.1%
10,Abbott India Ltd.,Healthcare,Equity,2.0%
11,Kotak Mahindra Bank Ltd.,Financial,Equity,2.0%
12,Mahindra & Mahindra Ltd.,Automobile,Equity,1.8%
13,UNO Minda Ltd.,Automobile,Equity,1.7%
14,Persistent Systems Ltd.,Technology,Equity,1.7%
15,The Federal Bank Ltd.,Financial,Equity,1.6%
16,Max Healthcare Institute Ltd.,Healthcare,Equity,1.6%
17,Nestle India Ltd.,Consumer Staples,Equity,1.5%
18,United Breweries Ltd.,Consumer Staples,Equity,1.4%
19,Hindustan Aeronautics Ltd.,Capital Goods,Equity,1.4%
20,Trent Ltd.,Services,Equity,1.4%
21,Coforge Ltd.,Technology,Equity,1.3%
22,The Indian Hotels Company Ltd.,Services,Equity,1.3%
23,Bajaj Finance Ltd.,Financial,Equity,1.3%
24,Sona BLW Precision Forgings Ltd.,Automobile,Equity,1.3%
25,The Phoenix Mills Ltd.,Construction,Equity,1.3%
26,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.3%
27,Kajaria Ceramics Ltd.,Construction,Equity,1.2%
28,TVS Motor Company Ltd.,Automobile,Equity,1.2%
29,Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,1.2%
30,AIA Engineering Ltd.,Metals & Mining,Equity,1.2%
31,Torrent Pharmaceuticals Ltd.,Healthcare,Equity,1.1%
32,Varun Beverages Ltd.,Consumer Staples,Equity,1.1%
33,Navin Fluorine International Ltd.,Chemicals,Equity,1.1%
34,Syngene International Ltd.,Healthcare,Equity,1.1%
35,Grindwell Norton Ltd.,Metals & Mining,Equity,1.1%
36,Home First Finance Company India Ltd.,Financial,Equity,1.1%
37,Vinati Organics Ltd.,Chemicals,Equity,1.0%
38,Titan Company Ltd.,Consumer Discretionary,Equity,1.0%
39,Bharti Airtel Ltd. - (Partly Paid up Equity Shares (Rights Issue)),Communication,PPE,1.0%
40,NHPC Ltd.,Energy,Equity,1.0%
41,PI Industries Ltd.,Chemicals,Equity,0.9%
42,Sumitomo Chemical India Ltd.,Chemicals,Equity,0.9%
43,Sapphire Foods India Ltd.,Services,Equity,0.9%
44,Escorts Kubota Ltd.,Automobile,Equity,0.9%
45,Balkrishna Industries Ltd.,Automobile,Equity,0.9%
46,Jindal Steel & Power Ltd.,Metals & Mining,Equity,0.9%
47,Mphasis Ltd.,Technology,Equity,0.9%
48,APL Apollo Tubes Ltd.,Metals & Mining,Equity,0.8%
49,Tube Investments Of India Ltd.,Automobile,Equity,0.8%
50,Honeywell Automation India Ltd.,Capital Goods,Equity,0.8%
51,LTIMindtree Ltd.,Technology,Equity,0.8%
52,PB Fintech Ltd.,Services,Equity,0.8%
53,Interglobe Aviation Ltd.,Services,Equity,0.8%
54,SBI Life Insurance Company Ltd.,Insurance,Equity,0.8%
55,Britannia Industries Ltd.,Consumer Staples,Equity,0.8%
56,Clean Science And Technology Ltd.,Chemicals,Equity,0.8%
57,Triveni Turbine Ltd.,Capital Goods,Equity,0.7%
58,United Spirits Ltd.,Consumer Staples,Equity,0.7%
59,Astral Ltd.,Chemicals,Equity,0.7%
60,Timken India Ltd.,Capital Goods,Equity,0.7%
61,Gujarat State Petronet Ltd.,Energy,Equity,0.6%
62,Kei Industries Ltd.,Capital Goods,Equity,0.6%
63,Apollo Tyres Ltd.,Automobile,Equity,0.6%
64,Indian Bank,Financial,Equity,0.5%
65,Hindustan Petroleum Corporation Ltd.,Energy,Equity,0.5%
66,Star Health and Allied Insurance Company Ltd.,Insurance,Equity,0.5%
67,Indraprastha Gas Ltd.,Energy,Equity,0.5%
68,Supreme Industries Ltd.,Chemicals,Equity,0.5%
69,Dixon Technologies (India) Ltd.,Capital Goods,Equity,0.5%
70,Metro Brands Ltd.,Consumer Staples,Equity,0.4%
71,Siemens Ltd.,Capital Goods,Equity,0.3%
72,ZF Commercial Vehicle Control Systems India Ltd.,Automobile,Equity,0.2%
73,Bharat Dynamics Ltd.,Capital Goods,Equity,0.2%
