,Name,Sector,Instrument,Assets
0,HDFC Bank Ltd.,Financial,Equity,9.6%
1,Infosys Ltd.,Technology,Equity,8.8%
2,ICICI Bank Ltd.,Financial,Equity,7.0%
3,Reliance Industries Ltd.,Energy,Equity,6.7%
4,Housing Development Finance Corporation Ltd.,Financial,Equity,5.7%
5,ITC Ltd.,Consumer Staples,Equity,4.4%
6,Nestle India Ltd.,Consumer Staples,Equity,4.2%
7,LTIMindtree Ltd.,Technology,Equity,2.9%
8,Ultratech Cement Ltd.,Construction,Equity,2.9%
9,Axis Bank Ltd.,Financial,Equity,2.8%
10,State Bank of India,Financial,Equity,2.7%
11,Bharti Airtel Ltd.,Communication,Equity,2.5%
12,Indusind Bank Ltd.,Financial,Equity,2.3%
13,Bharat Electronics Ltd.,Capital Goods,Equity,2.1%
14,Asian Paints Ltd.,Chemicals,Equity,1.8%
15,Bank Of Baroda,Financial,Equity,1.8%
16,GAIL (India) Ltd.,Energy,Equity,1.8%
17,Samvardhana Motherson International Ltd.,Automobile,Equity,1.4%
18,NTPC Ltd.,Energy,Equity,1.4%
19,Torrent Pharmaceuticals Ltd.,Healthcare,Equity,1.4%
20,Mahindra & Mahindra Ltd.,Automobile,Equity,1.4%
21,PI Industries Ltd.,Chemicals,Equity,1.4%
22,Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,1.4%
23,Hindustan Aeronautics Ltd.,Capital Goods,Equity,1.3%
24,Dixon Technologies (India) Ltd.,Capital Goods,Equity,1.3%
25,Siemens Ltd.,Capital Goods,Equity,1.2%
26,Escorts Kubota Ltd.,Automobile,Equity,1.2%
27,ABB India Ltd.,Capital Goods,Equity,1.1%
28,Blue Dart Express Ltd.,Services,Equity,1.1%
29,Kajaria Ceramics Ltd.,Construction,Equity,1.1%
30,United Spirits Ltd.,Consumer Staples,Equity,1.1%
31,Interglobe Aviation Ltd.,Services,Equity,1.1%
32,Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,1.0%
33,Bharat Dynamics Ltd.,Capital Goods,Equity,1.0%
34,Mahindra CIE Automotive Ltd.,Metals & Mining,Equity,0.9%
35,Devyani International Ltd.,Services,Equity,0.9%
36,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,0.8%
37,MTAR Technologies Ltd.,Capital Goods,Equity,0.8%
38,United Breweries Ltd.,Consumer Staples,Equity,0.6%
39,GR Infraprojects Ltd.,Construction,Equity,0.6%
40,Persistent Systems Ltd.,Technology,Equity,0.6%
41,TeamLease Services Ltd.,Services,Equity,0.6%
42,Birla Corporation Ltd.,Construction,Equity,0.4%
43,Kotak Mahindra Bank Ltd.,Financial,Equity,0.2%
44,Safari Industries (India) Ltd.,Chemicals,Equity,0.2%
