,Name,Sector,Instrument,Assets
0,Timken India Ltd.,Capital Goods,Equity,3.4%
1,Kei Industries Ltd.,Capital Goods,Equity,2.6%
2,Krishna Institute of Medical Sciences Ltd,Healthcare,Equity,2.6%
3,Equitas Small Finance Bank Ltd.,Financial,Equity,2.5%
4,Rolex Rings Ltd,Capital Goods,Equity,2.5%
5,The Phoenix Mills Ltd.,Construction,Equity,2.4%
6,Triveni Turbine Ltd.,Capital Goods,Equity,2.4%
7,KNR Constructions Ltd.,Construction,Equity,2.3%
8,Balrampur Chini Mills Ltd.,Consumer Staples,Equity,2.2%
9,Kajaria Ceramics Ltd.,Construction,Equity,2.2%
10,PNC Infratech Ltd.,Construction,Equity,2.2%
11,Karur Vysya Bank Ltd.,Financial,Equity,2.2%
12,ZF Commercial Vehicle Control Systems India Ltd.,Automobile,Equity,2.1%
13,VIP Industries Ltd.,Chemicals,Equity,2.1%
14,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,2.0%
15,Ajanta Pharma Ltd.,Healthcare,Equity,2.0%
16,Indian Bank,Financial,Equity,2.0%
17,Infosys Ltd.,Technology,Equity,2.0%
18,MTAR Technologies Ltd.,Capital Goods,Equity,1.9%
19,Can Fin Homes Ltd.,Financial,Equity,1.9%
20,Orient Electric Ltd.,Consumer Discretionary,Equity,1.9%
21,Mahindra CIE Automotive Ltd.,Metals & Mining,Equity,1.8%
22,Metro Brands Ltd.,Consumer Staples,Equity,1.8%
23,Ratnamani Metals & Tubes Ltd.,Metals & Mining,Equity,1.8%
24,Home First Finance Company India Ltd.,Financial,Equity,1.8%
25,VRL Logistics Ltd.,Services,Equity,1.8%
26,Safari Industries (India) Ltd.,Chemicals,Equity,1.8%
27,Ingersoll-Rand (India) Ltd.,Capital Goods,Equity,1.7%
28,Craftsman Automation Ltd.,Automobile,Equity,1.7%
29,Bharat Dynamics Ltd.,Capital Goods,Equity,1.7%
30,Radico Khaitan Ltd.,Consumer Staples,Equity,1.7%
31,JK Lakshmi Cement Ltd.,Construction,Equity,1.6%
32,City Union Bank Ltd.,Financial,Equity,1.6%
33,TeamLease Services Ltd.,Services,Equity,1.5%
34,Gujarat State Petronet Ltd.,Energy,Equity,1.5%
35,Jamna Auto Industries Ltd.,Automobile,Equity,1.5%
36,Tata Steel Ltd.,Metals & Mining,Equity,1.5%
37,Expleo Solutions Ltd.,Technology,Equity,1.4%
38,DCB Bank Ltd.,Financial,Equity,1.3%
39,Persistent Systems Ltd.,Technology,Equity,1.3%
40,Brigade Enterprises Ltd.,Construction,Equity,1.3%
41,Sapphire Foods India Ltd.,Services,Equity,1.2%
42,Campus Activewear Ltd.,Consumer Staples,Equity,1.1%
43,Multi Commodity Exchange Of India Ltd.,Services,Equity,1.1%
44,Eicher Motors Ltd.,Automobile,Equity,1.1%
45,Barbeque-Nation Hospitality Ltd.,Services,Equity,1.1%
46,Dreamfolks Services Ltd.,Services,Equity,1.0%
47,Hindustan Unilever Ltd.,Consumer Staples,Equity,1.0%
48,CreditAccess Grameen Ltd.,Financial,Equity,1.0%
49,360 One Wam Ltd,Financial,Equity,0.9%
50,Maruti Suzuki India Ltd.,Automobile,Equity,0.9%
51,Angel One Ltd.,Financial,Equity,0.9%
52,BEML Ltd.,Capital Goods,Equity,0.9%
53,Birla Corporation Ltd.,Construction,Equity,0.9%
54,Neogen Chemicals Ltd.,Chemicals,Equity,0.9%
55,Krsnaa Diagnostics Ltd.,Healthcare,Equity,0.9%
56,Cipla Ltd.,Healthcare,Equity,0.8%
57,Tata Elxsi Ltd.,Technology,Equity,0.8%
58,TCI Express Ltd.,Services,Equity,0.6%
59,Accelya Solutions India Ltd.,Technology,Equity,0.6%
60,Apex Frozen Foods Ltd.,Consumer Staples,Equity,0.5%
61,Vinati Organics Ltd.,Chemicals,Equity,0.5%
