,Name,Sector,Instrument,Assets
0,Larsen & Toubro Ltd.,Construction,Equity,5.6%
1,ICICI Bank Ltd.,Financial,Equity,4.9%
2,Ultratech Cement Ltd.,Construction,Equity,4.8%
3,HDFC Bank Ltd.,Financial,Equity,4.4%
4,Reliance Industries Ltd.,Energy,Equity,4.0%
5,Infosys Ltd.,Technology,Equity,3.6%
6,Bank Of Baroda,Financial,Equity,3.4%
7,Schaeffler India Ltd.,Capital Goods,Equity,3.1%
8,Jubilant FoodWorks Ltd.,Services,Equity,2.9%
9,SKF India Ltd.,Capital Goods,Equity,2.8%
10,Tata Consultancy Services Ltd.,Technology,Equity,2.8%
11,REC Ltd.,Financial,Equity,2.7%
12,Can Fin Homes Ltd.,Financial,Equity,2.7%
13,Maruti Suzuki India Ltd.,Automobile,Equity,2.6%
14,Bharat Forge Ltd.,Automobile,Equity,2.6%
15,Cummins India Ltd.,Capital Goods,Equity,2.2%
16,State Bank of India,Financial,Equity,2.2%
17,Hindalco Industries Ltd.,Metals & Mining,Equity,2.2%
18,Fortis Healthcare Ltd.,Healthcare,Equity,2.2%
19,Kirloskar Oil Engines Ltd.,Capital Goods,Equity,2.1%
20,Dixon Technologies (India) Ltd.,Capital Goods,Equity,2.0%
21,Tech Mahindra Ltd.,Technology,Equity,2.0%
22,Trent Ltd.,Services,Equity,2.0%
23,Axis Bank Ltd.,Financial,Equity,2.0%
24,The Indian Hotels Company Ltd.,Services,Equity,2.0%
25,Balrampur Chini Mills Ltd.,Consumer Staples,Equity,1.9%
26,Equitas Small Finance Bank Ltd.,Financial,Equity,1.9%
27,The Phoenix Mills Ltd.,Construction,Equity,1.9%
28,K.P.R. Mill Ltd.,Textiles,Equity,1.8%
29,Birlasoft Ltd.,Technology,Equity,1.7%
30,Mahindra & Mahindra Ltd.,Automobile,Equity,1.7%
31,Vardhman Textiles Ltd.,Textiles,Equity,1.7%
32,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.6%
33,Mahindra & Mahindra Financial Services Ltd.,Financial,Equity,1.5%
34,Bharat Electronics Ltd.,Capital Goods,Equity,1.5%
35,Blue Star Ltd.,Consumer Discretionary,Equity,1.4%
36,Hindustan Aeronautics Ltd.,Capital Goods,Equity,1.4%
37,Indian Oil Corporation Ltd.,Energy,Equity,1.4%
38,Sanofi India Ltd.,Healthcare,Equity,1.2%
