,Name,Sector,Instrument,Assets
0,HDFC Bank Ltd.,Financial,Equity,7.0%
1,Reliance Industries Ltd.,Energy,Equity,5.6%
2,Infosys Ltd.,Technology,Equity,5.3%
3,Larsen & Toubro Ltd.,Construction,Equity,5.0%
4,Narayana Hrudayalaya Ltd.,Healthcare,Equity,4.9%
5,Ultratech Cement Ltd.,Construction,Equity,4.8%
6,Kotak Mahindra Bank Ltd.,Financial,Equity,4.8%
7,Axis Bank Ltd.,Financial,Equity,4.3%
8,Bank Of Baroda,Financial,Equity,4.2%
9,Jubilant FoodWorks Ltd.,Services,Equity,4.0%
10,Gujarat Gas Ltd.,Energy,Equity,3.8%
11,REC Ltd.,Financial,Equity,3.7%
12,Maruti Suzuki India Ltd.,Automobile,Equity,3.5%
13,Schaeffler India Ltd.,Capital Goods,Equity,3.5%
14,The Phoenix Mills Ltd.,Construction,Equity,3.5%
15,Bharat Forge Ltd.,Automobile,Equity,3.4%
16,The Indian Hotels Company Ltd.,Services,Equity,3.4%
17,Hitachi Energy India Ltd.,Capital Goods,Equity,3.3%
18,Trent Ltd.,Services,Equity,3.0%
19,Titan Company Ltd.,Consumer Discretionary,Equity,2.9%
20,Mahindra & Mahindra Financial Services Ltd.,Financial,Equity,2.8%
21,Amber Enterprises India Ltd.,Consumer Discretionary,Equity,2.7%
22,TVS Motor Company Ltd.,Automobile,Equity,2.5%
23,Tech Mahindra Ltd.,Technology,Equity,2.2%
24,Hindalco Industries Ltd.,Metals & Mining,Equity,1.8%
