,Name,Sector,Instrument,Assets
0,Reliance Industries Ltd.,Energy,Equity,5.8%
1,Larsen & Toubro Ltd.,Construction,Equity,5.5%
2,ITC Ltd.,Consumer Staples,Equity,5.2%
3,HDFC Bank Ltd.,Financial,Equity,5.0%
4,ICICI Bank Ltd.,Financial,Equity,5.0%
5,Ultratech Cement Ltd.,Construction,Equity,5.0%
6,Axis Bank Ltd.,Financial,Equity,4.9%
7,Bank Of Baroda,Financial,Equity,4.6%
8,Infosys Ltd.,Technology,Equity,4.5%
9,Fortis Healthcare Ltd.,Healthcare,Equity,3.8%
10,State Bank of India,Financial,Equity,3.8%
11,Housing Development Finance Corporation Ltd.,Financial,Equity,3.6%
12,Maruti Suzuki India Ltd.,Automobile,Equity,3.4%
13,HCL Technologies Ltd.,Technology,Equity,3.2%
14,Kotak Mahindra Bank Ltd.,Financial,Equity,3.0%
15,Hindalco Industries Ltd.,Metals & Mining,Equity,3.0%
16,Indian Oil Corporation Ltd.,Energy,Equity,2.6%
17,Tata Consultancy Services Ltd.,Technology,Equity,2.5%
18,Mahindra & Mahindra Ltd.,Automobile,Equity,2.4%
19,NTPC Ltd.,Energy,Equity,2.3%
20,Hindustan Unilever Ltd.,Consumer Staples,Equity,2.1%
21,Hindustan Aeronautics Ltd.,Capital Goods,Equity,2.0%
22,Gujarat Gas Ltd.,Energy,Equity,1.9%
23,The Federal Bank Ltd.,Financial,Equity,1.9%
24,Tech Mahindra Ltd.,Technology,Equity,1.7%
25,Power Grid Corporation Of India Ltd.,Energy,Equity,1.7%
26,The Indian Hotels Company Ltd.,Services,Equity,1.1%
27,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.0%
28,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,1.0%
29,Schaeffler India Ltd.,Capital Goods,Equity,0.5%
30,TVS Motor Company Ltd.,Automobile,Equity,0.5%
31,One97 Communications Ltd.,Services,Equity,0.5%
32,The Phoenix Mills Ltd.,Construction,Equity,0.5%
33,Jubilant FoodWorks Ltd.,Services,Equity,0.5%
34,Kalpataru Power Transmission Ltd.,Capital Goods,Equity,0.5%
35,Blue Star Ltd.,Consumer Discretionary,Equity,0.5%
