,Name,Sector,Instrument,Assets
0,Canara Bank,Financial,Equity,3.8%
1,Equitas Small Finance Bank Ltd.,Financial,Equity,3.8%
2,Schaeffler India Ltd.,Capital Goods,Equity,3.5%
3,The Federal Bank Ltd.,Financial,Equity,3.1%
4,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,3.1%
5,Blue Star Ltd.,Consumer Discretionary,Equity,3.1%
6,JK Cement Ltd.,Construction,Equity,3.0%
7,Narayana Hrudayalaya Ltd.,Healthcare,Equity,3.0%
8,KEC International Ltd.,Capital Goods,Equity,3.0%
9,Jubilant FoodWorks Ltd.,Services,Equity,3.0%
10,The Phoenix Mills Ltd.,Construction,Equity,2.8%
11,One97 Communications Ltd.,Services,Equity,2.7%
12,Fortis Healthcare Ltd.,Healthcare,Equity,2.7%
13,Devyani International Ltd.,Services,Equity,2.7%
14,Gujarat Gas Ltd.,Energy,Equity,2.6%
15,Sundram Fasteners Ltd.,Capital Goods,Equity,2.6%
16,Bharat Forge Ltd.,Automobile,Equity,2.5%
17,Balkrishna Industries Ltd.,Automobile,Equity,2.5%
18,Kalpataru Power Transmission Ltd.,Capital Goods,Equity,2.5%
19,REC Ltd.,Financial,Equity,2.4%
20,K.P.R. Mill Ltd.,Textiles,Equity,2.4%
21,TVS Motor Company Ltd.,Automobile,Equity,2.4%
22,Escorts Kubota Ltd.,Automobile,Equity,2.3%
23,Mahindra & Mahindra Financial Services Ltd.,Financial,Equity,2.2%
24,Cummins India Ltd.,Capital Goods,Equity,2.1%
25,Kirloskar Oil Engines Ltd.,Capital Goods,Equity,2.1%
26,Amber Enterprises India Ltd.,Consumer Discretionary,Equity,2.0%
27,Coromandel International Ltd.,Chemicals,Equity,2.0%
28,Aditya Birla Fashion and Retail Ltd.,Services,Equity,1.9%
29,Birlasoft Ltd.,Technology,Equity,1.9%
30,Varun Beverages Ltd.,Consumer Staples,Equity,1.8%
31,Bharat Heavy Electricals Ltd.,Capital Goods,Equity,1.7%
32,360 One Wam Ltd,Financial,Equity,1.6%
33,Supreme Industries Ltd.,Chemicals,Equity,1.6%
34,Sumitomo Chemical India Ltd.,Chemicals,Equity,1.6%
35,Hindustan Petroleum Corporation Ltd.,Energy,Equity,1.5%
36,Hindustan Aeronautics Ltd.,Capital Goods,Equity,1.5%
37,Trent Ltd.,Services,Equity,1.4%
38,Bharat Electronics Ltd.,Capital Goods,Equity,1.4%
39,Jindal Saw Ltd.,Metals & Mining,Equity,1.3%
40,Alkem Laboratories Ltd.,Healthcare,Equity,1.2%
