,Name,Sector,Instrument,Assets
0,HDFC Bank Ltd.,Financial,Equity,5.7%
1,ICICI Bank Ltd.,Financial,Equity,5.1%
2,Infosys Ltd.,Technology,Equity,5.1%
3,Ultratech Cement Ltd.,Construction,Equity,4.8%
4,Larsen & Toubro Ltd.,Construction,Equity,4.0%
5,Gujarat Gas Ltd.,Energy,Equity,2.8%
6,Maruti Suzuki India Ltd.,Automobile,Equity,2.8%
7,Reliance Industries Ltd.,Energy,Equity,2.7%
8,Hindustan Aeronautics Ltd.,Capital Goods,Equity,2.7%
9,Jubilant FoodWorks Ltd.,Services,Equity,2.7%
10,Vardhman Textiles Ltd.,Textiles,Equity,2.7%
11,Axis Bank Ltd.,Financial,Equity,2.6%
12,Kalpataru Power Transmission Ltd.,Capital Goods,Equity,2.6%
13,Fortis Healthcare Ltd.,Healthcare,Equity,2.6%
14,Bank Of Baroda,Financial,Equity,2.6%
15,One97 Communications Ltd.,Services,Equity,2.5%
16,Godrej Consumer Products Ltd.,Consumer Staples,Equity,2.5%
17,The Indian Hotels Company Ltd.,Services,Equity,2.5%
18,Varun Beverages Ltd.,Consumer Staples,Equity,2.5%
19,Power Finance Corporation Ltd.,Financial,Equity,2.3%
20,SKF India Ltd.,Capital Goods,Equity,2.3%
21,Mahindra & Mahindra Ltd.,Automobile,Equity,2.3%
22,JK Cement Ltd.,Construction,Equity,2.3%
23,Equitas Small Finance Bank Ltd.,Financial,Equity,2.2%
24,Blue Star Ltd.,Consumer Discretionary,Equity,2.2%
25,Mahindra & Mahindra Financial Services Ltd.,Financial,Equity,2.2%
26,The Phoenix Mills Ltd.,Construction,Equity,2.1%
27,Hitachi Energy India Ltd.,Capital Goods,Equity,2.0%
28,State Bank of India,Financial,Equity,2.0%
29,Trent Ltd.,Services,Equity,1.9%
30,Can Fin Homes Ltd.,Financial,Equity,1.9%
31,Cummins India Ltd.,Capital Goods,Equity,1.8%
32,Tech Mahindra Ltd.,Technology,Equity,1.7%
33,Dixon Technologies (India) Ltd.,Capital Goods,Equity,1.6%
34,Indian Oil Corporation Ltd.,Energy,Equity,1.5%
