,Name,Sector,Instrument,Assets
0,HDFC Bank Ltd.,Financial,Equity,18.3%
1,ICICI Bank Ltd.,Financial,Equity,18.0%
2,Housing Development Finance Corporation Ltd.,Financial,Equity,11.6%
3,Axis Bank Ltd.,Financial,Equity,8.5%
4,State Bank of India,Financial,Equity,5.3%
5,Kotak Mahindra Bank Ltd.,Financial,Equity,4.9%
6,Bajaj Finance Ltd.,Financial,Equity,3.4%
7,Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,3.3%
8,The Federal Bank Ltd.,Financial,Equity,2.1%
9,Bank Of Baroda,Financial,Equity,2.0%
10,Indusind Bank Ltd.,Financial,Equity,1.4%
11,Mahindra & Mahindra Financial Services Ltd.,Financial,Equity,1.4%
12,Sundaram Finance Ltd.,Financial,Equity,1.4%
13,Power Finance Corporation Ltd.,Financial,Equity,0.9%
14,Shriram Finance Ltd,Financial,Equity,0.5%
15,Bandhan Bank Ltd.,Financial,Equity,0.4%
16,AU Small Finance Bank Ltd.,Financial,Equity,0.3%
