,Name,Sector,Instrument,Assets
0,ICICI Bank Ltd.,Financial,Equity,7.2%
1,HDFC Bank Ltd.,Financial,Equity,6.5%
2,Reliance Industries Ltd.,Energy,Equity,6.1%
3,Infosys Ltd.,Technology,Equity,5.3%
4,Larsen & Toubro Ltd.,Construction,Equity,4.1%
5,ITC Ltd.,Consumer Staples,Equity,4.0%
6,Axis Bank Ltd.,Financial,Equity,3.8%
7,Housing Development Finance Corporation Ltd.,Financial,Equity,3.3%
8,Tata Consultancy Services Ltd.,Technology,Equity,3.1%
9,Maruti Suzuki India Ltd.,Automobile,Equity,2.8%
10,Ultratech Cement Ltd.,Construction,Equity,2.5%
11,State Bank of India,Financial,Equity,2.4%
12,Mahindra & Mahindra Ltd.,Automobile,Equity,2.3%
13,Hindustan Unilever Ltd.,Consumer Staples,Equity,2.1%
14,Persistent Systems Ltd.,Technology,Equity,2.0%
15,Bharti Airtel Ltd.,Communication,Equity,2.0%
16,Kotak Mahindra Bank Ltd.,Financial,Equity,2.0%
17,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.8%
18,Godrej Consumer Products Ltd.,Consumer Staples,Equity,1.6%
19,Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,1.5%
20,Bajaj Finance Ltd.,Financial,Equity,1.4%
21,Bharat Forge Ltd.,Automobile,Equity,1.4%
22,Bosch Ltd.,Automobile,Equity,1.4%
23,Hindalco Industries Ltd.,Metals & Mining,Equity,1.3%
24,Interglobe Aviation Ltd.,Services,Equity,1.3%
25,Titan Company Ltd.,Consumer Discretionary,Equity,1.3%
26,Tech Mahindra Ltd.,Technology,Equity,1.3%
27,Bharat Petroleum Corporation Ltd.,Energy,Equity,1.2%
28,Zydus Lifesciences Ltd.,Healthcare,Equity,1.2%
29,Eicher Motors Ltd.,Automobile,Equity,1.2%
30,LTIMindtree Ltd.,Technology,Equity,1.1%
31,United Breweries Ltd.,Consumer Staples,Equity,1.1%
32,Indraprastha Gas Ltd.,Energy,Equity,1.1%
33,Apollo Tyres Ltd.,Automobile,Equity,1.1%
34,United Spirits Ltd.,Consumer Staples,Equity,1.1%
35,Container Corporation Of India Ltd.,Services,Equity,1.0%
36,Coromandel International Ltd.,Chemicals,Equity,1.0%
37,Gujarat State Petronet Ltd.,Energy,Equity,1.0%
38,HCL Technologies Ltd.,Technology,Equity,0.9%
39,V-Guard Industries Ltd.,Consumer Discretionary,Equity,0.8%
40,Schaeffler India Ltd.,Capital Goods,Equity,0.8%
41,HDFC Life Insurance Co Ltd.,Insurance,Equity,0.8%
42,Solar Industries India Ltd.,Chemicals,Equity,0.8%
43,Shree Cement Ltd.,Construction,Equity,0.8%
44,SBI Cards And Payment Services Ltd.,Financial,Equity,0.8%
45,Gland Pharma Ltd.,Healthcare,Equity,0.8%
46,Bank Of Baroda,Financial,Equity,0.7%
47,Samvardhana Motherson International Ltd.,Automobile,Equity,0.7%
48,Oberoi Realty Ltd.,Construction,Equity,0.6%
49,Mahindra Lifespace Developers Ltd.,Construction,Equity,0.4%
50,FSN E-Commerce Ventures Ltd.,Services,Equity,0.4%
51,Life Insurance Corporation of India,Insurance,Equity,0.3%
52,Motherson Sumi Wiring India Ltd.,Automobile,Equity,0.3%
53,AU Small Finance Bank Ltd.,Financial,Equity,0.2%
