,Name,Sector,Instrument,Assets
0,Supreme Industries Ltd.,Chemicals,Equity,4.2%
1,Schaeffler India Ltd.,Capital Goods,Equity,4.0%
2,Cummins India Ltd.,Capital Goods,Equity,3.8%
3,Persistent Systems Ltd.,Technology,Equity,3.5%
4,Solar Industries India Ltd.,Chemicals,Equity,3.0%
5,SKF India Ltd.,Capital Goods,Equity,2.9%
6,Thermax Ltd.,Capital Goods,Equity,2.9%
7,PI Industries Ltd.,Chemicals,Equity,2.6%
8,Kajaria Ceramics Ltd.,Construction,Equity,2.5%
9,JK Cement Ltd.,Construction,Equity,2.4%
10,Atul Ltd.,Chemicals,Equity,2.4%
11,Oberoi Realty Ltd.,Construction,Equity,2.4%
12,Coromandel International Ltd.,Chemicals,Equity,2.3%
13,Whirlpool Of India Ltd.,Consumer Discretionary,Equity,2.2%
14,Bharat Electronics Ltd.,Capital Goods,Equity,2.2%
15,Ipca Laboratories Ltd.,Healthcare,Equity,2.1%
16,Bharat Forge Ltd.,Automobile,Equity,2.0%
17,SRF Ltd.,Diversified,Equity,1.8%
18,Torrent Pharmaceuticals Ltd.,Healthcare,Equity,1.7%
19,ICICI Bank Ltd.,Financial,Equity,1.7%
20,Sundaram Finance Ltd.,Financial,Equity,1.6%
21,Bata India Ltd.,Consumer Staples,Equity,1.6%
22,The Federal Bank Ltd.,Financial,Equity,1.5%
23,AU Small Finance Bank Ltd.,Financial,Equity,1.5%
24,The Ramco Cements Ltd.,Construction,Equity,1.5%
25,APL Apollo Tubes Ltd.,Metals & Mining,Equity,1.5%
26,Ratnamani Metals & Tubes Ltd.,Metals & Mining,Equity,1.4%
27,Sheela Foam Ltd.,Consumer Discretionary,Equity,1.3%
28,Axis Bank Ltd.,Financial,Equity,1.3%
29,State Bank of India,Financial,Equity,1.2%
30,Jindal Steel & Power Ltd.,Metals & Mining,Equity,1.1%
31,Exide Industries Ltd.,Capital Goods,Equity,1.1%
32,Mahindra & Mahindra Financial Services Ltd.,Financial,Equity,1.1%
33,MRF Ltd.,Automobile,Equity,1.0%
34,Voltas Ltd.,Consumer Discretionary,Equity,1.0%
35,Blue Star Ltd.,Consumer Discretionary,Equity,1.0%
36,Balkrishna Industries Ltd.,Automobile,Equity,1.0%
37,Max Financial Services Ltd.,Financial,Equity,0.9%
38,Page Industries Ltd.,Textiles,Equity,0.9%
39,Vedant Fashions Ltd.,Services,Equity,0.9%
40,V-Guard Industries Ltd.,Consumer Discretionary,Equity,0.9%
41,Zydus Lifesciences Ltd.,Healthcare,Equity,0.9%
42,Emami Ltd.,Consumer Staples,Equity,0.8%
43,Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,0.8%
44,Dixon Technologies (India) Ltd.,Capital Goods,Equity,0.8%
45,Amber Enterprises India Ltd.,Consumer Discretionary,Equity,0.7%
46,Hindustan Petroleum Corporation Ltd.,Energy,Equity,0.7%
47,Tata Consumer Products Ltd.,Consumer Staples,Equity,0.7%
48,Metro Brands Ltd.,Consumer Staples,Equity,0.6%
49,Shree Cement Ltd.,Construction,Equity,0.6%
50,Sundram Fasteners Ltd.,Capital Goods,Equity,0.5%
51,Shriram Finance Ltd,Financial,Equity,0.5%
52,Alkem Laboratories Ltd.,Healthcare,Equity,0.5%
53,Amara Raja Batteries Ltd.,Capital Goods,Equity,0.4%
54,Hawkins Cookers Ltd.,Consumer Discretionary,Equity,0.4%
55,City Union Bank Ltd.,Financial,Equity,0.4%
56,Gujarat State Petronet Ltd.,Energy,Equity,0.4%
57,Kalpataru Power Transmission Ltd.,Capital Goods,Equity,0.4%
58,Samvardhana Motherson International Ltd.,Automobile,Equity,0.4%
59,Gujarat Gas Ltd.,Energy,Equity,0.3%
60,Lux Industries Ltd.,Textiles,Equity,0.3%
61,Gland Pharma Ltd.,Healthcare,Equity,0.3%
62,Kewal Kiran Clothing Ltd.,Textiles,Equity,0.3%
63,ZF Commercial Vehicle Control Systems India Ltd.,Automobile,Equity,0.3%
64,Godrej Agrovet Ltd.,Consumer Staples,Equity,0.3%
65,PNC Infratech Ltd.,Construction,Equity,0.2%
66,Laurus Labs Ltd.,Healthcare,Equity,0.2%
67,Motherson Sumi Wiring India Ltd.,Automobile,Equity,0.2%
68,UNO Minda Ltd.,Automobile,Equity,0.2%
69,United Spirits Ltd.,Consumer Staples,Equity,0.2%
70,Ambuja Cements Ltd.,Construction,Equity,0.1%
71,Honeywell Automation India Ltd.,Capital Goods,Equity,0.1%
72,PB Fintech Ltd.,Services,Equity,0.1%
73,Life Insurance Corporation of India,Insurance,Equity,0.1%
