,Name,Sector,Instrument,Assets
0,ICICI Bank Ltd.,Financial,Equity,9.6%
1,Infosys Ltd.,Technology,Equity,5.5%
2,Larsen & Toubro Ltd.,Construction,Equity,5.3%
3,SRF Ltd.,Diversified,Equity,5.2%
4,HDFC Bank Ltd.,Financial,Equity,5.1%
5,Ultratech Cement Ltd.,Construction,Equity,5.1%
6,State Bank of India,Financial,Equity,4.8%
7,Axis Bank Ltd.,Financial,Equity,4.7%
8,Reliance Industries Ltd.,Energy,Equity,4.6%
9,Bharat Electronics Ltd.,Capital Goods,Equity,3.6%
10,Jindal Steel & Power Ltd.,Metals & Mining,Equity,3.3%
11,Tata Consultancy Services Ltd.,Technology,Equity,2.7%
12,Maruti Suzuki India Ltd.,Automobile,Equity,2.4%
13,AU Small Finance Bank Ltd.,Financial,Equity,2.3%
14,Thermax Ltd.,Capital Goods,Equity,2.0%
15,Bharti Airtel Ltd.,Communication,Equity,2.0%
16,Hindustan Unilever Ltd.,Consumer Staples,Equity,1.7%
17,The Ramco Cements Ltd.,Construction,Equity,1.7%
18,Petronet LNG Ltd.,Energy,Equity,1.6%
19,Zydus Lifesciences Ltd.,Healthcare,Equity,1.6%
20,Interglobe Aviation Ltd.,Services,Equity,1.5%
21,Mahindra & Mahindra Ltd.,Automobile,Equity,1.4%
22,Balkrishna Industries Ltd.,Automobile,Equity,1.4%
23,Bharat Forge Ltd.,Automobile,Equity,1.4%
24,Bajaj Finance Ltd.,Financial,Equity,1.3%
25,Container Corporation Of India Ltd.,Services,Equity,1.3%
26,Kotak Mahindra Bank Ltd.,Financial,Equity,1.1%
27,Solar Industries India Ltd.,Chemicals,Equity,1.1%
28,KEC International Ltd.,Capital Goods,Equity,1.0%
29,Cipla Ltd.,Healthcare,Equity,1.0%
30,Indraprastha Gas Ltd.,Energy,Equity,1.0%
31,ITC Ltd.,Consumer Staples,Equity,1.0%
32,United Breweries Ltd.,Consumer Staples,Equity,0.9%
33,Tata Chemicals Ltd.,Chemicals,Equity,0.9%
34,AIA Engineering Ltd.,Metals & Mining,Equity,0.9%
35,Hindalco Industries Ltd.,Metals & Mining,Equity,0.8%
36,Jubilant FoodWorks Ltd.,Services,Equity,0.8%
37,MRF Ltd.,Automobile,Equity,0.8%
38,Bata India Ltd.,Consumer Staples,Equity,0.7%
39,Godrej Consumer Products Ltd.,Consumer Staples,Equity,0.7%
40,Max Financial Services Ltd.,Financial,Equity,0.6%
41,Apollo Tyres Ltd.,Automobile,Equity,0.5%
42,Shree Cement Ltd.,Construction,Equity,0.4%
43,Hero Motocorp Ltd.,Automobile,Equity,0.4%
44,BEML Ltd.,Capital Goods,Equity,0.3%
45,Coromandel International Ltd.,Chemicals,Equity,0.3%
46,Bayer CropScience Ltd.,Chemicals,Equity,0.2%
47,Kotak Liquid - Plan A - Direct Plan-Growth,Financial,Mutual Fund,0.1%
