,Name,Sector,Instrument,Assets
0,HDFC Bank Ltd.,Financial,Equity,8.2%
1,ICICI Bank Ltd.,Financial,Equity,7.3%
2,Infosys Ltd.,Technology,Equity,6.2%
3,Larsen & Toubro Ltd.,Construction,Equity,4.8%
4,Reliance Industries Ltd.,Energy,Equity,4.6%
5,Axis Bank Ltd.,Financial,Equity,4.4%
6,State Bank of India,Financial,Equity,4.3%
7,Maruti Suzuki India Ltd.,Automobile,Equity,4.1%
8,Ultratech Cement Ltd.,Construction,Equity,3.7%
9,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,3.3%
10,Hindustan Unilever Ltd.,Consumer Staples,Equity,3.2%
11,LTIMindtree Ltd.,Technology,Equity,3.1%
12,Bharat Electronics Ltd.,Capital Goods,Equity,3.0%
13,Bharat Forge Ltd.,Automobile,Equity,2.9%
14,Alkem Laboratories Ltd.,Healthcare,Equity,2.9%
15,SRF Ltd.,Diversified,Equity,2.9%
16,Supreme Industries Ltd.,Chemicals,Equity,2.7%
17,Bharti Airtel Ltd.,Communication,Equity,2.7%
18,Polycab India Ltd.,Capital Goods,Equity,2.4%
19,United Breweries Ltd.,Consumer Staples,Equity,2.4%
20,Bata India Ltd.,Consumer Staples,Equity,2.4%
21,PI Industries Ltd.,Chemicals,Equity,2.4%
22,Kajaria Ceramics Ltd.,Construction,Equity,2.2%
23,Hero Motocorp Ltd.,Automobile,Equity,1.9%
24,Orient Electric Ltd.,Consumer Discretionary,Equity,1.9%
25,AU Small Finance Bank Ltd.,Financial,Equity,1.8%
26,Bosch Ltd.,Automobile,Equity,1.7%
27,Bajaj Finance Ltd.,Financial,Equity,1.6%
28,Sheela Foam Ltd.,Consumer Discretionary,Equity,1.3%
29,Carborundum Universal Ltd.,Metals & Mining,Equity,1.2%
30,Bharti Airtel Ltd. - (Partly Paid up Equity Shares (Rights Issue)),Communication,PPE,0.1%
