,Name,Sector,Instrument,Assets
0,Reliance Industries Ltd.,Energy,Equity,5.4%
1,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,5.2%
2,Maruti Suzuki India Ltd.,Automobile,Equity,5.1%
3,Mahindra & Mahindra Ltd.,Automobile,Equity,4.6%
4,Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,4.3%
5,Larsen & Toubro Ltd.,Construction,Equity,3.6%
6,Hindalco Industries Ltd.,Metals & Mining,Equity,3.6%
7,Ultratech Cement Ltd.,Construction,Equity,3.1%
8,Zydus Lifesciences Ltd.,Healthcare,Equity,2.8%
9,Tata Steel Ltd.,Metals & Mining,Equity,2.7%
10,Carborundum Universal Ltd.,Metals & Mining,Equity,2.6%
11,ABB India Ltd.,Capital Goods,Equity,2.6%
12,Cipla Ltd.,Healthcare,Equity,2.5%
13,Bosch Ltd.,Automobile,Equity,2.5%
14,Bharat Forge Ltd.,Automobile,Equity,2.2%
15,AIA Engineering Ltd.,Metals & Mining,Equity,2.1%
16,Eicher Motors Ltd.,Automobile,Equity,2.1%
17,Cummins India Ltd.,Capital Goods,Equity,2.0%
18,V-Guard Industries Ltd.,Consumer Discretionary,Equity,2.0%
19,PI Industries Ltd.,Chemicals,Equity,1.9%
20,Bharat Electronics Ltd.,Capital Goods,Equity,1.9%
21,Coromandel International Ltd.,Chemicals,Equity,1.8%
22,Bharat Petroleum Corporation Ltd.,Energy,Equity,1.8%
23,Godrej Consumer Products Ltd.,Consumer Staples,Equity,1.8%
24,United Breweries Ltd.,Consumer Staples,Equity,1.6%
25,Whirlpool Of India Ltd.,Consumer Discretionary,Equity,1.6%
26,Thermax Ltd.,Capital Goods,Equity,1.5%
27,Ashok Leyland Ltd.,Automobile,Equity,1.5%
28,Kajaria Ceramics Ltd.,Construction,Equity,1.5%
29,SRF Ltd.,Diversified,Equity,1.5%
30,Apollo Tyres Ltd.,Automobile,Equity,1.4%
31,Tata Motors Ltd.,Automobile,Equity,1.4%
32,Bata India Ltd.,Consumer Staples,Equity,1.4%
33,Supreme Industries Ltd.,Chemicals,Equity,1.3%
34,3M India Ltd.,Diversified,Equity,1.3%
35,Voltas Ltd.,Consumer Discretionary,Equity,1.3%
36,Samvardhana Motherson International Ltd.,Automobile,Equity,1.2%
37,Exide Industries Ltd.,Capital Goods,Equity,1.2%
38,Balkrishna Industries Ltd.,Automobile,Equity,1.2%
39,Schaeffler India Ltd.,Capital Goods,Equity,1.2%
40,Tata Chemicals Ltd.,Chemicals,Equity,1.1%
41,Gland Pharma Ltd.,Healthcare,Equity,1.0%
42,Garware Technical Fibres Ltd.,Textiles,Equity,1.0%
43,Solar Industries India Ltd.,Chemicals,Equity,1.0%
44,Sona BLW Precision Forgings Ltd.,Automobile,Equity,0.8%
45,Dixon Technologies (India) Ltd.,Capital Goods,Equity,0.8%
46,Amber Enterprises India Ltd.,Consumer Discretionary,Equity,0.6%
47,Elin Electronics Ltd.,Capital Goods,Equity,0.4%
