,Name,Sector,Instrument,Assets
0,Carborundum Universal Ltd.,Metals & Mining,Equity,4.7%
1,Cyient Ltd.,Technology,Equity,3.6%
2,Ratnamani Metals & Tubes Ltd.,Metals & Mining,Equity,3.2%
3,Century Plyboards (India) Ltd.,Consumer Staples,Equity,3.0%
4,Blue Star Ltd.,Consumer Discretionary,Equity,3.0%
5,Galaxy Surfactants Ltd.,Chemicals,Equity,2.8%
6,Garware Technical Fibres Ltd.,Textiles,Equity,2.5%
7,Persistent Systems Ltd.,Technology,Equity,2.5%
8,Supreme Industries Ltd.,Chemicals,Equity,2.5%
9,V-Guard Industries Ltd.,Consumer Discretionary,Equity,2.2%
10,Sheela Foam Ltd.,Consumer Discretionary,Equity,2.2%
11,Solar Industries India Ltd.,Chemicals,Equity,2.2%
12,Sansera Engineering Ltd.,Automobile,Equity,2.1%
13,Schaeffler India Ltd.,Capital Goods,Equity,2.1%
14,Blue Dart Express Ltd.,Services,Equity,2.0%
15,Alembic Pharmaceuticals Ltd.,Healthcare,Equity,2.0%
16,V-Mart Retail Ltd.,Services,Equity,1.8%
17,ICICI Bank Ltd.,Financial,Equity,1.8%
18,Shoppers Stop Ltd.,Services,Equity,1.8%
19,Orient Electric Ltd.,Consumer Discretionary,Equity,1.7%
20,JK Cement Ltd.,Construction,Equity,1.7%
21,Somany Ceramics Ltd.,Construction,Equity,1.6%
22,Exide Industries Ltd.,Capital Goods,Equity,1.6%
23,The Great Eastern Shipping Company Ltd.,Services,Equity,1.6%
24,Rolex Rings Ltd,Capital Goods,Equity,1.6%
25,Shyam Metalics And Energy Ltd.,Metals & Mining,Equity,1.5%
26,Mahindra Lifespace Developers Ltd.,Construction,Equity,1.4%
27,Amber Enterprises India Ltd.,Consumer Discretionary,Equity,1.4%
28,VIP Industries Ltd.,Chemicals,Equity,1.4%
29,Balrampur Chini Mills Ltd.,Consumer Staples,Equity,1.4%
30,APL Apollo Tubes Ltd.,Metals & Mining,Equity,1.3%
31,Nilkamal Ltd.,Chemicals,Equity,1.3%
32,Hawkins Cookers Ltd.,Consumer Discretionary,Equity,1.3%
33,Techno Electric & Engineering Company Ltd.,Capital Goods,Equity,1.3%
34,Tata Chemicals Ltd.,Chemicals,Equity,1.2%
35,Kalpataru Power Transmission Ltd.,Capital Goods,Equity,1.1%
36,Aavas Financiers Ltd.,Financial,Equity,1.1%
37,Thermax Ltd.,Capital Goods,Equity,1.1%
38,BEML Ltd.,Capital Goods,Equity,1.1%
39,GR Infraprojects Ltd.,Construction,Equity,1.0%
40,Kajaria Ceramics Ltd.,Construction,Equity,1.0%
41,PI Industries Ltd.,Chemicals,Equity,1.0%
42,V.S.T. Tillers Tractors Ltd.,Automobile,Equity,1.0%
43,Atul Ltd.,Chemicals,Equity,0.9%
44,Laxmi Organic Industries Ltd.,Chemicals,Equity,0.9%
45,Apollo Pipes Ltd.,Chemicals,Equity,0.9%
46,Torrent Pharmaceuticals Ltd.,Healthcare,Equity,0.8%
47,Go Fashion (India) Ltd.,Services,Equity,0.8%
48,AU Small Finance Bank Ltd.,Financial,Equity,0.8%
49,WPIL Ltd.,Capital Goods,Equity,0.8%
50,Prataap Snacks Ltd.,Consumer Staples,Equity,0.8%
51,Mahindra & Mahindra Financial Services Ltd.,Financial,Equity,0.7%
52,The Ramco Cements Ltd.,Construction,Equity,0.7%
53,Dixon Technologies (India) Ltd.,Capital Goods,Equity,0.7%
54,Bharat Forge Ltd.,Automobile,Equity,0.7%
55,Shriram Finance Ltd,Financial,Equity,0.7%
56,Bosch Ltd.,Automobile,Equity,0.6%
57,Dhanuka Agritech Ltd.,Chemicals,Equity,0.5%
58,Archean Chemical Industries Ltd.,Chemicals,Equity,0.5%
59,KNR Constructions Ltd.,Construction,Equity,0.5%
60,Sandhar Technologies Ltd.,Automobile,Equity,0.5%
61,Kewal Kiran Clothing Ltd.,Textiles,Equity,0.4%
62,Whirlpool Of India Ltd.,Consumer Discretionary,Equity,0.4%
63,Lux Industries Ltd.,Textiles,Equity,0.4%
64,Zydus Lifesciences Ltd.,Healthcare,Equity,0.3%
65,Axis Bank Ltd.,Financial,Equity,0.3%
66,Coromandel International Ltd.,Chemicals,Equity,0.3%
67,Heritage Foods Ltd.,Consumer Staples,Equity,0.3%
68,BEML Land Assets Ltd.,Services,Equity,0.3%
69,MTAR Technologies Ltd.,Capital Goods,Equity,0.2%
70,Hindustan Oil Exploration Company Ltd.,Energy,Equity,0.2%
71,Samvardhana Motherson International Ltd.,Automobile,Equity,0.2%
72,Happiest Minds Technologies Ltd.,Technology,Equity,0.1%
