,Name,Sector,Instrument,Assets
0,ICICI Bank Ltd.,Financial,Equity,18.4%
1,HDFC Bank Ltd.,Financial,Equity,10.1%
2,Axis Bank Ltd.,Financial,Equity,9.4%
3,State Bank of India,Financial,Equity,9.4%
4,Housing Development Finance Corporation Ltd.,Financial,Equity,9.0%
5,CreditAccess Grameen Ltd.,Financial,Equity,4.5%
6,The Federal Bank Ltd.,Financial,Equity,4.2%
7,Karur Vysya Bank Ltd.,Financial,Equity,4.2%
8,Cholamandalam Financial Holdings Ltd.,Financial,Equity,3.7%
9,DCB Bank Ltd.,Financial,Equity,3.4%
10,SBI Cards And Payment Services Ltd.,Financial,Equity,3.3%
11,CSB Bank Ltd.,Financial,Equity,3.2%
12,Mas Financial Services Ltd.,Financial,Equity,2.7%
13,Sundaram Finance Ltd.,Financial,Equity,2.6%
14,ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,2.0%
15,Piramal Enterprises Ltd.,Healthcare,Equity,1.6%
16,360 One Wam Ltd,Financial,Equity,1.5%
17,L&T Finance Holdings Ltd.,Financial,Equity,1.3%
18,Star Health and Allied Insurance Company Ltd.,Insurance,Equity,0.9%
