,Name,Sector,Instrument,Assets
0,ICICI Bank Ltd.,Financial,Equity,6.0%
1,HDFC Bank Ltd.,Financial,Equity,5.6%
2,Infosys Ltd.,Technology,Equity,5.0%
3,Axis Bank Ltd.,Financial,Equity,2.3%
4,Aditya Birla Fashion and Retail Ltd.,Services,Equity,2.3%
5,SRF Ltd.,Diversified,Equity,2.2%
6,Tata Consultancy Services Ltd.,Technology,Equity,2.2%
7,Devyani International Ltd.,Services,Equity,2.1%
8,Reliance Industries Ltd.,Energy,Equity,2.0%
9,Navin Fluorine International Ltd.,Chemicals,Equity,2.0%
10,Kansai Nerolac Paints Ltd.,Chemicals,Equity,1.9%
11,Vinati Organics Ltd.,Chemicals,Equity,1.9%
12,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,1.9%
13,Cummins India Ltd.,Capital Goods,Equity,1.8%
14,Ipca Laboratories Ltd.,Healthcare,Equity,1.8%
15,Transport Corporation Of India Ltd.,Services,Equity,1.7%
16,State Bank of India,Financial,Equity,1.7%
17,Coromandel International Ltd.,Chemicals,Equity,1.7%
18,Kajaria Ceramics Ltd.,Construction,Equity,1.6%
19,Timken India Ltd.,Capital Goods,Equity,1.6%
20,Kennametal India Ltd.,Capital Goods,Equity,1.6%
21,Schaeffler India Ltd.,Capital Goods,Equity,1.5%
22,Bajaj Electricals Ltd.,Consumer Discretionary,Equity,1.5%
23,The Indian Hotels Company Ltd.,Services,Equity,1.5%
24,Bajaj Finance Ltd.,Financial,Equity,1.5%
25,Gujarat Gas Ltd.,Energy,Equity,1.5%
26,Eicher Motors Ltd.,Automobile,Equity,1.4%
27,Page Industries Ltd.,Textiles,Equity,1.4%
28,HCL Technologies Ltd.,Technology,Equity,1.4%
29,UNO Minda Ltd.,Automobile,Equity,1.4%
30,Zydus Wellness Ltd.,Consumer Staples,Equity,1.4%
31,Hindustan Unilever Ltd.,Consumer Staples,Equity,1.4%
32,Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,1.4%
33,Kotak Mahindra Bank Ltd.,Financial,Equity,1.4%
34,Mahindra & Mahindra Ltd.,Automobile,Equity,1.4%
35,Sundaram Finance Ltd.,Financial,Equity,1.3%
36,Trent Ltd.,Services,Equity,1.3%
37,Jubilant FoodWorks Ltd.,Services,Equity,1.3%
38,Atul Ltd.,Chemicals,Equity,1.2%
39,Hitachi Energy India Ltd.,Capital Goods,Equity,1.2%
40,Bharat Forge Ltd.,Automobile,Equity,1.1%
41,Bharti Airtel Ltd.,Communication,Equity,1.1%
42,Lakshmi Machine Works Ltd.,Capital Goods,Equity,1.1%
43,Cholamandalam Financial Holdings Ltd.,Financial,Equity,1.1%
44,NOCIL Ltd.,Chemicals,Equity,1.0%
45,Blue Dart Express Ltd.,Services,Equity,0.9%
46,The Federal Bank Ltd.,Financial,Equity,0.9%
47,Tata Chemicals Ltd.,Chemicals,Equity,0.9%
48,Ashoka Buildcon Ltd.,Construction,Equity,0.9%
49,Nippon Life India Asset Management Ltd.,Financial,Equity,0.8%
50,Century Plyboards (India) Ltd.,Consumer Staples,Equity,0.8%
51,Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,0.8%
52,Pitti Engineering Ltd.,Capital Goods,Equity,0.8%
53,Emami Ltd.,Consumer Staples,Equity,0.8%
54,Whirlpool Of India Ltd.,Consumer Discretionary,Equity,0.8%
55,CreditAccess Grameen Ltd.,Financial,Equity,0.7%
56,Dabur India Ltd.,Consumer Staples,Equity,0.7%
57,Quess Corp Ltd.,Financial,Equity,0.7%
58,Voltas Ltd.,Consumer Discretionary,Equity,0.7%
59,Titan Company Ltd.,Consumer Discretionary,Equity,0.6%
60,DCB Bank Ltd.,Financial,Equity,0.5%
