,Name,Sector,Instrument,Assets
0,HDFC Bank Ltd.,Financial,Equity,9.9%
1,ICICI Bank Ltd.,Financial,Equity,9.3%
2,Infosys Ltd.,Technology,Equity,7.5%
3,Reliance Industries Ltd.,Energy,Equity,6.0%
4,Axis Bank Ltd.,Financial,Equity,4.5%
5,Kotak Mahindra Bank Ltd.,Financial,Equity,4.2%
6,Tata Consultancy Services Ltd.,Technology,Equity,4.1%
7,State Bank of India,Financial,Equity,3.8%
8,Titan Company Ltd.,Consumer Discretionary,Equity,3.3%
9,Mahindra & Mahindra Ltd.,Automobile,Equity,3.2%
10,Larsen & Toubro Ltd.,Construction,Equity,2.9%
11,SRF Ltd.,Diversified,Equity,2.6%
12,Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,2.6%
13,Maruti Suzuki India Ltd.,Automobile,Equity,2.6%
14,Ultratech Cement Ltd.,Construction,Equity,2.5%
15,Hindustan Unilever Ltd.,Consumer Staples,Equity,2.4%
16,Eicher Motors Ltd.,Automobile,Equity,2.2%
17,Bajaj Finance Ltd.,Financial,Equity,2.1%
18,Bajaj Finserv Ltd.,Financial,Equity,2.1%
19,Bharti Airtel Ltd.,Communication,Equity,1.7%
20,ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,1.5%
21,Hindalco Industries Ltd.,Metals & Mining,Equity,1.5%
22,SBI Life Insurance Company Ltd.,Insurance,Equity,1.5%
23,Dabur India Ltd.,Consumer Staples,Equity,1.4%
24,HCL Technologies Ltd.,Technology,Equity,1.3%
25,Nestle India Ltd.,Consumer Staples,Equity,1.2%
26,Grasim Industries Ltd.,Construction,Equity,1.1%
27,Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,1.1%
28,Torrent Pharmaceuticals Ltd.,Healthcare,Equity,0.9%
29,Asian Paints Ltd.,Chemicals,Equity,0.9%
30,Bajaj Holdings & Investment Ltd.,Financial,Equity,0.9%
31,Avenue Supermarts Ltd.,Services,Equity,0.8%
32,United Spirits Ltd.,Consumer Staples,Equity,0.7%
33,Tata Steel Ltd.,Metals & Mining,Equity,0.6%
34,SBI Cards And Payment Services Ltd.,Financial,Equity,0.6%
35,ICICI Prudential Life Insurance Company Ltd.,Insurance,Equity,0.5%
36,NTPC Ltd.,Energy,Equity,0.5%
