,Name,Sector,Instrument,Assets
0,ITC Ltd.,Consumer Staples,Equity,8.9%
1,Bharti Airtel Ltd.,Communication,Equity,8.1%
2,Hindustan Unilever Ltd.,Consumer Staples,Equity,8.0%
3,Maruti Suzuki India Ltd.,Automobile,Equity,7.3%
4,Asian Paints Ltd.,Chemicals,Equity,5.8%
5,Titan Company Ltd.,Consumer Discretionary,Equity,5.5%
6,HDFC Bank Ltd.,Financial,Equity,5.0%
7,Godrej Consumer Products Ltd.,Consumer Staples,Equity,3.9%
8,Nestle India Ltd.,Consumer Staples,Equity,3.9%
9,United Spirits Ltd.,Consumer Staples,Equity,3.8%
10,Dabur India Ltd.,Consumer Staples,Equity,3.4%
11,Mahindra & Mahindra Ltd.,Automobile,Equity,3.2%
12,Trent Ltd.,Services,Equity,2.9%
13,Page Industries Ltd.,Textiles,Equity,2.5%
14,Metro Brands Ltd.,Consumer Staples,Equity,2.5%
15,Westlife Foodworld Ltd.,Services,Equity,2.5%
16,Eicher Motors Ltd.,Automobile,Equity,2.3%
17,Mrs. Bectors Food Specialities Ltd.,Consumer Staples,Equity,2.3%
18,Vedant Fashions Ltd.,Services,Equity,1.8%
19,Bajaj Auto Ltd.,Automobile,Equity,1.6%
20,Britannia Industries Ltd.,Consumer Staples,Equity,1.5%
21,CreditAccess Grameen Ltd.,Financial,Equity,1.5%
22,Balrampur Chini Mills Ltd.,Consumer Staples,Equity,1.4%
23,CCL Products (India) Ltd.,Consumer Staples,Equity,1.3%
24,TVS Srichakra Ltd.,Automobile,Equity,1.2%
25,Safari Industries (India) Ltd.,Chemicals,Equity,1.1%
26,Blue Star Ltd.,Consumer Discretionary,Equity,1.0%
27,Hero Motocorp Ltd.,Automobile,Equity,0.9%
28,TTK Prestige Ltd.,Consumer Discretionary,Equity,0.8%
