,Name,Sector,Instrument,Assets
0,ICICI Bank Ltd.,Financial,Equity,9.3%
1,HDFC Bank Ltd.,Financial,Equity,9.0%
2,Infosys Ltd.,Technology,Equity,8.1%
3,Reliance Industries Ltd.,Energy,Equity,6.5%
4,State Bank of India,Financial,Equity,4.8%
5,Bharti Airtel Ltd.,Communication,Equity,4.5%
6,Larsen & Toubro Ltd.,Construction,Equity,4.2%
7,Kotak Mahindra Bank Ltd.,Financial,Equity,3.8%
8,NTPC Ltd.,Energy,Equity,3.7%
9,Maruti Suzuki India Ltd.,Automobile,Equity,3.4%
10,Grasim Industries Ltd.,Construction,Equity,3.3%
11,ITC Ltd.,Consumer Staples,Equity,3.0%
12,HCL Technologies Ltd.,Technology,Equity,2.9%
13,Hindustan Unilever Ltd.,Consumer Staples,Equity,2.8%
14,IDFC Ltd.,Financial,Equity,2.6%
15,Abbott India Ltd.,Healthcare,Equity,2.3%
16,United Spirits Ltd.,Consumer Staples,Equity,2.2%
17,Kirloskar Oil Engines Ltd.,Capital Goods,Equity,2.2%
18,Tech Mahindra Ltd.,Technology,Equity,2.1%
19,Gujarat Fluorochemicals Ltd.,Chemicals,Equity,2.1%
20,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.9%
21,Zee Entertainment Enterprises Ltd.,Services,Equity,1.7%
22,Hero Motocorp Ltd.,Automobile,Equity,1.6%
23,Mahindra CIE Automotive Ltd.,Metals & Mining,Equity,1.6%
24,Oil & Natural Gas Corporation Ltd.,Energy,Equity,1.5%
25,Jindal Stainless Ltd.,Metals & Mining,Equity,1.4%
26,Jindal Steel & Power Ltd.,Metals & Mining,Equity,1.4%
27,Triveni Engineering & Industries Ltd.,Consumer Staples,Equity,1.3%
28,Century Textiles & Industries Ltd.,Consumer Staples,Equity,1.2%
