,Name,Sector,Instrument,Assets
0,HDFC Bank Ltd.,Financial,Equity,6.2%
1,Reliance Industries Ltd.,Energy,Equity,5.5%
2,Infosys Ltd.,Technology,Equity,4.9%
3,LTIMindtree Ltd.,Technology,Equity,3.4%
4,Larsen & Toubro Ltd.,Construction,Equity,2.9%
5,Cummins India Ltd.,Capital Goods,Equity,2.8%
6,Bharat Forge Ltd.,Automobile,Equity,2.6%
7,Tech Mahindra Ltd.,Technology,Equity,2.5%
8,ICICI Bank Ltd.,Financial,Equity,2.4%
9,Steel Authority Of India Ltd.,Metals & Mining,Equity,2.3%
10,Bosch Ltd.,Automobile,Equity,2.3%
11,Tata Communications Ltd.,Communication,Equity,2.2%
12,Indusind Bank Ltd.,Financial,Equity,2.1%
13,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,2.1%
14,Dalmia Bharat Ltd.,Construction,Equity,2.0%
15,United Spirits Ltd.,Consumer Staples,Equity,1.9%
16,Bharti Airtel Ltd.,Communication,Equity,1.9%
17,Abbott India Ltd.,Healthcare,Equity,1.9%
18,Hindustan Petroleum Corporation Ltd.,Energy,Equity,1.9%
19,Kajaria Ceramics Ltd.,Construction,Equity,1.9%
20,Bajaj Finance Ltd.,Financial,Equity,1.8%
21,SKF India Ltd.,Capital Goods,Equity,1.8%
22,REC Ltd.,Financial,Equity,1.7%
23,Tata Motors Ltd. - DVR Ordinary,Automobile,Equity,1.7%
24,Vedant Fashions Ltd.,Services,Equity,1.7%
25,RBL Bank Ltd.,Financial,Equity,1.7%
26,SRF Ltd.,Diversified,Equity,1.6%
27,Ultratech Cement Ltd.,Construction,Equity,1.6%
28,Bharat Dynamics Ltd.,Capital Goods,Equity,1.6%
29,Crisil Ltd.,Services,Equity,1.5%
30,Ircon International Ltd.,Construction,Equity,1.5%
31,Kei Industries Ltd.,Capital Goods,Equity,1.5%
32,Mahindra & Mahindra Financial Services Ltd.,Financial,Equity,1.4%
33,State Bank of India,Financial,Equity,1.4%
34,Apollo Tyres Ltd.,Automobile,Equity,1.4%
35,ABB India Ltd.,Capital Goods,Equity,1.3%
36,Mahindra CIE Automotive Ltd.,Metals & Mining,Equity,1.2%
37,Gujarat Gas Ltd.,Energy,Equity,1.2%
38,Max Financial Services Ltd.,Financial,Equity,1.2%
39,Metro Brands Ltd.,Consumer Staples,Equity,1.1%
40,IDFC First Bank Ltd.,Financial,Equity,1.1%
41,Ambuja Cements Ltd.,Construction,Equity,1.1%
42,Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,Chemicals,Equity,1.1%
43,NTPC Ltd.,Energy,Equity,1.0%
44,Patanjali Foods Ltd.,Consumer Staples,Equity,1.0%
45,Triveni Engineering & Industries Ltd.,Consumer Staples,Equity,1.0%
46,Godrej Properties Ltd.,Construction,Equity,0.9%
47,Escorts Kubota Ltd.,Automobile,Equity,0.9%
48,Life Insurance Corporation of India,Insurance,Equity,0.8%
49,Kaynes Technology India Ltd.,Capital Goods,Equity,0.8%
50,L&T Technology Services Ltd.,Technology,Equity,0.7%
51,Jubilant Ingrevia Ltd.,Chemicals,Equity,0.7%
52,IDFC Ltd.,Financial,Equity,0.5%
53,AIA Engineering Ltd.,Metals & Mining,Equity,0.4%
