,Name,Sector,Instrument,Assets
0,HDFC Bank Ltd.,Financial,Equity,9.4%
1,ICICI Bank Ltd.,Financial,Equity,9.2%
2,Reliance Industries Ltd.,Energy,Equity,7.2%
3,Infosys Ltd.,Technology,Equity,6.6%
4,Tata Consultancy Services Ltd.,Technology,Equity,5.6%
5,Larsen & Toubro Ltd.,Construction,Equity,4.2%
6,State Bank of India,Financial,Equity,4.1%
7,Axis Bank Ltd.,Financial,Equity,4.0%
8,Maruti Suzuki India Ltd.,Automobile,Equity,3.6%
9,Hindustan Unilever Ltd.,Consumer Staples,Equity,3.0%
10,Bharti Airtel Ltd.,Communication,Equity,2.3%
11,HDFC Life Insurance Co Ltd.,Insurance,Equity,2.2%
12,Indusind Bank Ltd.,Financial,Equity,2.0%
13,Dabur India Ltd.,Consumer Staples,Equity,2.0%
14,NTPC Ltd.,Energy,Equity,2.0%
15,Housing Development Finance Corporation Ltd.,Financial,Equity,1.9%
16,United Spirits Ltd.,Consumer Staples,Equity,1.9%
17,Tata Motors Ltd. - DVR Ordinary,Automobile,Equity,1.9%
18,GAIL (India) Ltd.,Energy,Equity,1.8%
19,Bajaj Finance Ltd.,Financial,Equity,1.8%
20,Ultratech Cement Ltd.,Construction,Equity,1.7%
21,Tata Steel Ltd.,Metals & Mining,Equity,1.6%
22,Grasim Industries Ltd.,Construction,Equity,1.6%
23,Torrent Pharmaceuticals Ltd.,Healthcare,Equity,1.5%
24,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.5%
25,DLF Ltd.,Construction,Equity,1.5%
26,LTIMindtree Ltd.,Technology,Equity,1.4%
27,Bharat Electronics Ltd.,Capital Goods,Equity,1.4%
28,Wipro Ltd.,Technology,Equity,1.3%
29,Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,1.3%
30,Hindalco Industries Ltd.,Metals & Mining,Equity,1.3%
31,Titan Company Ltd.,Consumer Discretionary,Equity,1.3%
32,Tega Industries Ltd.,Metals & Mining,Equity,1.2%
33,Balrampur Chini Mills Ltd.,Consumer Staples,Equity,1.0%
34,Abbott India Ltd.,Healthcare,Equity,0.9%
35,Samvardhana Motherson International Ltd.,Automobile,Equity,0.8%
36,Grindwell Norton Ltd.,Metals & Mining,Equity,0.8%
