,Name,Sector,Instrument,Assets
0,HDFC Bank Ltd.,Financial,Equity,8.1%
1,Reliance Industries Ltd.,Energy,Equity,5.5%
2,Infosys Ltd.,Technology,Equity,4.8%
3,LTIMindtree Ltd.,Technology,Equity,3.3%
4,Bharat Forge Ltd.,Automobile,Equity,2.5%
5,Tech Mahindra Ltd.,Technology,Equity,2.5%
6,Kirloskar Oil Engines Ltd.,Capital Goods,Equity,2.3%
7,Cummins India Ltd.,Capital Goods,Equity,2.2%
8,Indusind Bank Ltd.,Financial,Equity,2.2%
9,Tata Communications Ltd.,Communication,Equity,2.1%
10,Kaynes Technology India Ltd.,Capital Goods,Equity,2.1%
11,Dalmia Bharat Ltd.,Construction,Equity,2.1%
12,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,2.1%
13,United Spirits Ltd.,Consumer Staples,Equity,2.1%
14,Bajaj Finance Ltd.,Financial,Equity,1.9%
15,IDFC Ltd.,Financial,Equity,1.9%
16,JK Lakshmi Cement Ltd.,Construction,Equity,1.8%
17,Bharti Airtel Ltd.,Communication,Equity,1.8%
18,Birlasoft Ltd.,Technology,Equity,1.8%
19,REC Ltd.,Financial,Equity,1.6%
20,Krishna Institute of Medical Sciences Ltd,Healthcare,Equity,1.6%
21,Hitachi Energy India Ltd.,Capital Goods,Equity,1.6%
22,ICICI Bank Ltd.,Financial,Equity,1.6%
23,Apollo Pipes Ltd.,Chemicals,Equity,1.6%
24,Ambuja Cements Ltd.,Construction,Equity,1.5%
25,Bharat Dynamics Ltd.,Capital Goods,Equity,1.5%
26,Zee Entertainment Enterprises Ltd.,Services,Equity,1.5%
27,Jindal Stainless Ltd.,Metals & Mining,Equity,1.4%
28,Sapphire Foods India Ltd.,Services,Equity,1.4%
29,SKF India Ltd.,Capital Goods,Equity,1.4%
30,VRL Logistics Ltd.,Services,Equity,1.4%
31,Crisil Ltd.,Services,Equity,1.3%
32,Punjab National Bank,Financial,Equity,1.3%
33,The Federal Bank Ltd.,Financial,Equity,1.3%
34,Metro Brands Ltd.,Consumer Staples,Equity,1.3%
35,Oberoi Realty Ltd.,Construction,Equity,1.3%
36,Mahindra & Mahindra Financial Services Ltd.,Financial,Equity,1.3%
37,Carborundum Universal Ltd.,Metals & Mining,Equity,1.2%
38,Tata Steel Ltd.,Metals & Mining,Equity,1.2%
39,CreditAccess Grameen Ltd.,Financial,Equity,1.1%
40,Life Insurance Corporation of India,Insurance,Equity,1.1%
41,Gujarat Fluorochemicals Ltd.,Chemicals,Equity,1.1%
42,K.P.R. Mill Ltd.,Textiles,Equity,1.1%
43,NTPC Ltd.,Energy,Equity,1.0%
44,Escorts Kubota Ltd.,Automobile,Equity,1.0%
45,Patanjali Foods Ltd.,Consumer Staples,Equity,0.9%
46,ABB India Ltd.,Capital Goods,Equity,0.9%
47,RHI Magnesita India Ltd.,Construction,Equity,0.9%
48,Page Industries Ltd.,Textiles,Equity,0.8%
49,Container Corporation Of India Ltd.,Services,Equity,0.8%
50,Titagarh Wagons Ltd.,Automobile,Equity,0.8%
51,Ingersoll-Rand (India) Ltd.,Capital Goods,Equity,0.8%
52,Gujarat Mineral Development Corporation Ltd.,Energy,Equity,0.8%
53,Coal India Ltd.,Energy,Equity,0.6%
54,Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,0.4%
55,Tata Power Company Ltd.,Energy,Equity,0.4%
56,Uniparts India Ltd.,Automobile,Equity,0.2%
