,Name,Sector,Instrument,Assets
0,IDFC Ltd.,Financial,Equity,4.0%
1,Jindal Stainless Ltd.,Metals & Mining,Equity,3.2%
2,United Spirits Ltd.,Consumer Staples,Equity,2.9%
3,Mahindra CIE Automotive Ltd.,Metals & Mining,Equity,2.8%
4,The Federal Bank Ltd.,Financial,Equity,2.6%
5,Kei Industries Ltd.,Capital Goods,Equity,2.6%
6,Exide Industries Ltd.,Capital Goods,Equity,2.5%
7,JK Lakshmi Cement Ltd.,Construction,Equity,2.3%
8,NLC India Ltd.,Energy,Equity,2.2%
9,ICRA Ltd.,Services,Equity,2.1%
10,Mrs. Bectors Food Specialities Ltd.,Consumer Staples,Equity,2.1%
11,REC Ltd.,Financial,Equity,2.1%
12,Birla Corporation Ltd.,Construction,Equity,2.1%
13,Kirloskar Oil Engines Ltd.,Capital Goods,Equity,2.0%
14,Persistent Systems Ltd.,Technology,Equity,2.0%
15,Kirloskar Brothers Ltd.,Capital Goods,Equity,1.9%
16,Triveni Engineering & Industries Ltd.,Consumer Staples,Equity,1.9%
17,Carborundum Universal Ltd.,Metals & Mining,Equity,1.9%
18,Gujarat State Petronet Ltd.,Energy,Equity,1.9%
19,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,1.8%
20,Ratnamani Metals & Tubes Ltd.,Metals & Mining,Equity,1.8%
21,ZF Commercial Vehicle Control Systems India Ltd.,Automobile,Equity,1.7%
22,Automotive Axles Ltd.,Automobile,Equity,1.7%
23,PNC Infratech Ltd.,Construction,Equity,1.7%
24,Westlife Foodworld Ltd.,Services,Equity,1.6%
25,Gujarat Mineral Development Corporation Ltd.,Energy,Equity,1.6%
26,Blue Star Ltd.,Consumer Discretionary,Equity,1.5%
27,Voltamp Transformers Ltd.,Capital Goods,Equity,1.5%
28,V-Mart Retail Ltd.,Services,Equity,1.4%
29,RHI Magnesita India Ltd.,Construction,Equity,1.4%
30,CCL Products (India) Ltd.,Consumer Staples,Equity,1.4%
31,City Union Bank Ltd.,Financial,Equity,1.3%
32,Krishna Institute of Medical Sciences Ltd,Healthcare,Equity,1.3%
33,The Great Eastern Shipping Company Ltd.,Services,Equity,1.3%
34,Kalpataru Power Transmission Ltd.,Capital Goods,Equity,1.2%
35,Godrej Industries Ltd.,Diversified,Equity,1.2%
36,Finolex Industries Ltd.,Chemicals,Equity,1.2%
37,VIP Industries Ltd.,Chemicals,Equity,1.1%
38,Tega Industries Ltd.,Metals & Mining,Equity,1.1%
39,K.P.R. Mill Ltd.,Textiles,Equity,1.1%
40,Birlasoft Ltd.,Technology,Equity,1.0%
41,TVS Srichakra Ltd.,Automobile,Equity,1.0%
42,EIH Ltd.,Services,Equity,1.0%
43,VRL Logistics Ltd.,Services,Equity,1.0%
44,Apollo Pipes Ltd.,Chemicals,Equity,1.0%
45,RBL Bank Ltd.,Financial,Equity,1.0%
46,Lakshmi Machine Works Ltd.,Capital Goods,Equity,0.9%
47,NMDC Steel Ltd.,Metals & Mining,Equity,0.8%
48,Uniparts India Ltd.,Automobile,Equity,0.7%
