,Name,Sector,Instrument,Assets
0,HDFC Bank Ltd.,Financial,Equity,11.2%
1,Infosys Ltd.,Technology,Equity,8.6%
2,ICICI Bank Ltd.,Financial,Equity,8.0%
3,Reliance Industries Ltd.,Energy,Equity,6.2%
4,Axis Bank Ltd.,Financial,Equity,5.7%
5,Bharti Airtel Ltd.,Communication,Equity,4.5%
6,Maruti Suzuki India Ltd.,Automobile,Equity,3.6%
7,SBI Cards And Payment Services Ltd.,Financial,Equity,3.5%
8,Orient Electric Ltd.,Consumer Discretionary,Equity,3.4%
9,Syngene International Ltd.,Healthcare,Equity,3.2%
10,Sapphire Foods India Ltd.,Services,Equity,3.2%
11,Sona BLW Precision Forgings Ltd.,Automobile,Equity,3.1%
12,Ashok Leyland Ltd.,Automobile,Equity,3.0%
13,State Bank of India,Financial,Equity,2.9%
14,One97 Communications Ltd.,Services,Equity,2.8%
15,SKF India Ltd.,Capital Goods,Equity,2.7%
16,JK Cement Ltd.,Construction,Equity,2.6%
17,Max Financial Services Ltd.,Financial,Equity,2.4%
18,Gujarat State Petronet Ltd.,Energy,Equity,2.4%
19,Indian Energy Exchange Ltd.,Services,Equity,2.1%
20,Torrent Pharmaceuticals Ltd.,Healthcare,Equity,1.9%
21,Mphasis Ltd.,Technology,Equity,1.9%
22,FSN E-Commerce Ventures Ltd.,Services,Equity,1.8%
23,Gland Pharma Ltd.,Healthcare,Equity,1.7%
24,Voltas Ltd.,Consumer Discretionary,Equity,1.7%
25,Zomato Ltd.,Services,Equity,1.6%
26,Bharat Electronics Ltd.,Capital Goods,Equity,1.3%
27,Britannia Industries Ltd.,Consumer Staples,Equity,0.9%
28,Muthoot Finance Ltd.,Financial,Equity,0.7%
29,Chemplast Sanmar Ltd.,Chemicals,Equity,0.6%
