,Name,Sector,Instrument,Assets
0,The Federal Bank Ltd.,Financial,Equity,4.4%
1,Bharat Forge Ltd.,Automobile,Equity,3.7%
2,Shriram Finance Ltd,Financial,Equity,3.5%
3,Axis Bank Ltd.,Financial,Equity,3.2%
4,NTPC Ltd.,Energy,Equity,3.0%
5,Power Finance Corporation Ltd.,Financial,Equity,2.7%
6,Thermax Ltd.,Capital Goods,Equity,2.7%
7,SKF India Ltd.,Capital Goods,Equity,2.5%
8,TVS Motor Company Ltd.,Automobile,Equity,2.5%
9,Jindal Steel & Power Ltd.,Metals & Mining,Equity,2.4%
10,State Bank of India,Financial,Equity,2.4%
11,LTIMindtree Ltd.,Technology,Equity,2.3%
12,Tata Communications Ltd.,Communication,Equity,2.3%
13,Kajaria Ceramics Ltd.,Construction,Equity,2.2%
14,Bata India Ltd.,Consumer Staples,Equity,2.2%
15,Bayer CropScience Ltd.,Chemicals,Equity,2.2%
16,Gujarat State Petronet Ltd.,Energy,Equity,2.0%
17,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,2.0%
18,Max Financial Services Ltd.,Financial,Equity,2.0%
19,Delhivery Ltd.,Services,Equity,1.9%
20,Coforge Ltd.,Technology,Equity,1.9%
21,Honeywell Automation India Ltd.,Capital Goods,Equity,1.8%
22,JK Cement Ltd.,Construction,Equity,1.8%
23,Bharat Electronics Ltd.,Capital Goods,Equity,1.8%
24,Lupin Ltd.,Healthcare,Equity,1.8%
25,Voltas Ltd.,Consumer Discretionary,Equity,1.8%
26,Atul Ltd.,Chemicals,Equity,1.8%
27,Nuvoco Vistas Corporation Ltd.,Construction,Equity,1.7%
28,Emami Ltd.,Consumer Staples,Equity,1.7%
29,Fortis Healthcare Ltd.,Healthcare,Equity,1.6%
30,Sona BLW Precision Forgings Ltd.,Automobile,Equity,1.5%
31,Indraprastha Gas Ltd.,Energy,Equity,1.5%
32,Page Industries Ltd.,Textiles,Equity,1.5%
33,Container Corporation Of India Ltd.,Services,Equity,1.5%
34,PB Fintech Ltd.,Services,Equity,1.4%
35,Prince Pipes and Fittings Ltd.,Chemicals,Equity,1.3%
36,Ipca Laboratories Ltd.,Healthcare,Equity,1.3%
37,Natco Pharma Ltd.,Healthcare,Equity,1.2%
38,Krishna Institute of Medical Sciences Ltd,Healthcare,Equity,1.2%
39,Ceat Ltd.,Automobile,Equity,1.2%
40,Ajanta Pharma Ltd.,Healthcare,Equity,1.2%
41,Laurus Labs Ltd.,Healthcare,Equity,1.2%
42,Craftsman Automation Ltd.,Automobile,Equity,1.1%
43,The Indian Hotels Company Ltd.,Services,Equity,1.0%
44,NMDC Ltd.,Metals & Mining,Equity,1.0%
45,Westlife Foodworld Ltd.,Services,Equity,1.0%
46,UTI Asset Management Company Ltd.,Financial,Equity,0.9%
47,Ashok Leyland Ltd.,Automobile,Equity,0.9%
48,Century Plyboards (India) Ltd.,Consumer Staples,Equity,0.9%
49,Prestige Estates Projects Ltd.,Construction,Equity,0.8%
50,Biocon Ltd.,Healthcare,Equity,0.8%
51,Chemplast Sanmar Ltd.,Chemicals,Equity,0.7%
52,Mphasis Ltd.,Technology,Equity,0.7%
53,Balkrishna Industries Ltd.,Automobile,Equity,0.7%
54,Sudarshan Chemical Industries Ltd.,Chemicals,Equity,0.6%
55,TTK Prestige Ltd.,Consumer Discretionary,Equity,0.5%
56,KFin Technologies Ltd.,Financial,Equity,0.3%
57,Indian Bank,Financial,Equity,0.2%
