,Name,Sector,Instrument,Assets
0,HDFC Bank Ltd.,Financial,Equity,8.3%
1,ICICI Bank Ltd.,Financial,Equity,7.3%
2,Reliance Industries Ltd.,Energy,Equity,7.1%
3,Infosys Ltd.,Technology,Equity,4.7%
4,Axis Bank Ltd.,Financial,Equity,4.6%
5,State Bank of India,Financial,Equity,3.7%
6,HCL Technologies Ltd.,Technology,Equity,3.1%
7,Larsen & Toubro Ltd.,Construction,Equity,2.7%
8,Housing Development Finance Corporation Ltd.,Financial,Equity,2.6%
9,Bharti Airtel Ltd.,Communication,Equity,2.4%
10,NTPC Ltd.,Energy,Equity,2.4%
11,Tata Consultancy Services Ltd.,Technology,Equity,2.3%
12,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,2.3%
13,SBI Cards And Payment Services Ltd.,Financial,Equity,1.9%
14,Tata Steel Ltd.,Metals & Mining,Equity,1.8%
15,ITC Ltd.,Consumer Staples,Equity,1.7%
16,Kotak Mahindra Bank Ltd.,Financial,Equity,1.6%
17,Bharat Forge Ltd.,Automobile,Equity,1.6%
18,SKF India Ltd.,Capital Goods,Equity,1.6%
19,JK Cement Ltd.,Construction,Equity,1.6%
20,Gujarat State Petronet Ltd.,Energy,Equity,1.5%
21,PB Fintech Ltd.,Services,Equity,1.5%
22,Tata Motors Ltd.,Automobile,Equity,1.4%
23,Gland Pharma Ltd.,Healthcare,Equity,1.3%
24,Sapphire Foods India Ltd.,Services,Equity,1.3%
25,Sona BLW Precision Forgings Ltd.,Automobile,Equity,1.3%
26,Maruti Suzuki India Ltd.,Automobile,Equity,1.3%
27,Delhivery Ltd.,Services,Equity,1.3%
28,Zomato Ltd.,Services,Equity,1.2%
29,SBI Life Insurance Company Ltd.,Insurance,Equity,1.1%
30,Titan Company Ltd.,Consumer Discretionary,Equity,1.0%
31,Havells India Ltd.,Capital Goods,Equity,1.0%
32,Max Financial Services Ltd.,Financial,Equity,1.0%
33,Biocon Ltd.,Healthcare,Equity,1.0%
34,Dabur India Ltd.,Consumer Staples,Equity,1.0%
35,Ceat Ltd.,Automobile,Equity,1.0%
36,Krishna Institute of Medical Sciences Ltd,Healthcare,Equity,1.0%
37,Bata India Ltd.,Consumer Staples,Equity,0.9%
38,Indian Energy Exchange Ltd.,Services,Equity,0.9%
39,Shriram Finance Ltd,Financial,Equity,0.9%
40,Aurobindo Pharma Ltd.,Healthcare,Equity,0.8%
41,Atul Ltd.,Chemicals,Equity,0.8%
42,Prince Pipes and Fittings Ltd.,Chemicals,Equity,0.8%
43,Emami Ltd.,Consumer Staples,Equity,0.7%
44,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,0.6%
45,Greenply Industries Ltd.,Consumer Staples,Equity,0.6%
46,Vinati Organics Ltd.,Chemicals,Equity,0.6%
47,Nuvoco Vistas Corporation Ltd.,Construction,Equity,0.6%
48,Torrent Pharmaceuticals Ltd.,Healthcare,Equity,0.5%
49,Paradeep Phosphates Ltd.,Chemicals,Equity,0.5%
50,Gateway Distriparks Ltd.,Services,Equity,0.5%
51,Kajaria Ceramics Ltd.,Construction,Equity,0.5%
52,Tega Industries Ltd.,Metals & Mining,Equity,0.4%
53,One97 Communications Ltd.,Services,Equity,0.4%
54,HDFC Life Insurance Co Ltd.,Insurance,Equity,0.4%
55,Chemplast Sanmar Ltd.,Chemicals,Equity,0.4%
56,Ambuja Cements Ltd.,Construction,Equity,0.4%
57,Hindustan Unilever Ltd.,Consumer Staples,Equity,0.4%
58,Prestige Estates Projects Ltd.,Construction,Equity,0.4%
59,National Aluminium Company Ltd.,Metals & Mining,Equity,0.3%
60,Page Industries Ltd.,Textiles,Equity,0.3%
