,Name,Sector,Instrument,Assets
0,Reliance Industries Ltd.,Energy,Equity,12.9%
1,HDFC Bank Ltd.,Financial,Equity,11.6%
2,ICICI Bank Ltd.,Financial,Equity,10.0%
3,Infosys Ltd.,Technology,Equity,8.3%
4,Housing Development Finance Corporation Ltd.,Financial,Equity,7.8%
5,ITC Ltd.,Consumer Staples,Equity,5.5%
6,Tata Consultancy Services Ltd.,Technology,Equity,5.4%
7,Larsen & Toubro Ltd.,Construction,Equity,4.3%
8,Kotak Mahindra Bank Ltd.,Financial,Equity,4.2%
9,Axis Bank Ltd.,Financial,Equity,3.8%
10,Hindustan Unilever Ltd.,Consumer Staples,Equity,3.7%
11,State Bank of India,Financial,Equity,3.3%
12,Bharti Airtel Ltd.,Communication,Equity,3.0%
13,Bajaj Finance Ltd.,Financial,Equity,2.5%
14,Asian Paints Ltd.,Chemicals,Equity,2.0%
15,HCL Technologies Ltd.,Technology,Equity,1.9%
16,Maruti Suzuki India Ltd.,Automobile,Equity,1.8%
17,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.7%
18,Titan Company Ltd.,Consumer Discretionary,Equity,1.7%
19,Mahindra & Mahindra Ltd.,Automobile,Equity,1.7%
20,Ultratech Cement Ltd.,Construction,Equity,1.4%
21,Tata Steel Ltd.,Metals & Mining,Equity,1.4%
22,NTPC Ltd.,Energy,Equity,1.4%
23,Power Grid Corporation Of India Ltd.,Energy,Equity,1.3%
24,Tata Motors Ltd.,Automobile,Equity,1.2%
25,Nestle India Ltd.,Consumer Staples,Equity,1.2%
26,Indusind Bank Ltd.,Financial,Equity,1.1%
27,Bajaj Finserv Ltd.,Financial,Equity,1.1%
28,Tech Mahindra Ltd.,Technology,Equity,1.1%
29,JSW Steel Ltd.,Metals & Mining,Equity,1.1%
30,Grasim Industries Ltd.,Construction,Equity,1.0%
31,Hindalco Industries Ltd.,Metals & Mining,Equity,1.0%
32,Oil & Natural Gas Corporation Ltd.,Energy,Equity,1.0%
33,Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,0.9%
34,Wipro Ltd.,Technology,Equity,0.9%
35,Britannia Industries Ltd.,Consumer Staples,Equity,0.8%
36,SBI Life Insurance Company Ltd.,Insurance,Equity,0.8%
37,HDFC Life Insurance Co Ltd.,Insurance,Equity,0.8%
38,Adani Ports and Special Economic Zone Ltd.,Services,Equity,0.8%
39,Adani Enterprises Ltd.,Services,Equity,0.8%
40,Cipla Ltd.,Healthcare,Equity,0.8%
41,Coal India Ltd.,Energy,Equity,0.7%
42,Bajaj Auto Ltd.,Automobile,Equity,0.7%
43,Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,0.7%
44,Tata Consumer Products Ltd.,Consumer Staples,Equity,0.7%
45,Eicher Motors Ltd.,Automobile,Equity,0.7%
46,UPL Ltd.,Chemicals,Equity,0.6%
47,Divi's Laboratories Ltd.,Healthcare,Equity,0.6%
48,Bharat Petroleum Corporation Ltd.,Energy,Equity,0.5%
49,Hero Motocorp Ltd.,Automobile,Equity,0.5%
