,Name,Sector,Instrument,Assets
0,ICICI Bank Ltd.,Financial,Equity,7.9%
1,Axis Bank Ltd.,Financial,Equity,6.5%
2,Reliance Industries Ltd.,Energy,Equity,5.2%
3,Infosys Ltd.,Technology,Equity,4.3%
4,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,4.2%
5,HDFC Bank Ltd.,Financial,Equity,3.8%
6,Shree Cement Ltd.,Construction,Equity,3.6%
7,SBI Life Insurance Company Ltd.,Insurance,Equity,3.3%
8,Housing Development Finance Corporation Ltd.,Financial,Equity,3.3%
9,Indusind Bank Ltd.,Financial,Equity,2.9%
10,UNO Minda Ltd.,Automobile,Equity,2.5%
11,Polycab India Ltd.,Capital Goods,Equity,2.5%
12,Tata Consumer Products Ltd.,Consumer Staples,Equity,2.4%
13,The Indian Hotels Company Ltd.,Services,Equity,2.3%
14,Suprajit Engineering Ltd.,Automobile,Equity,2.3%
15,Ashok Leyland Ltd.,Automobile,Equity,2.3%
16,Radico Khaitan Ltd.,Consumer Staples,Equity,2.1%
17,ZF Commercial Vehicle Control Systems India Ltd.,Automobile,Equity,2.1%
18,Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,2.0%
19,Wipro Ltd.,Technology,Equity,2.0%
20,Bajaj Finance Ltd.,Financial,Equity,1.8%
21,Valiant Organics Ltd.,Healthcare,Equity,1.8%
22,The Phoenix Mills Ltd.,Construction,Equity,1.8%
23,Ultratech Cement Ltd.,Construction,Equity,1.7%
24,CG Power and Industrial Solutions Ltd.,Capital Goods,Equity,1.6%
25,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,1.6%
26,Tata Consultancy Services Ltd.,Technology,Equity,1.6%
27,Honeywell Automation India Ltd.,Capital Goods,Equity,1.4%
28,HCL Technologies Ltd.,Technology,Equity,1.4%
29,Cipla Ltd.,Healthcare,Equity,1.4%
30,Fusion Micro Finance Ltd.,Financial,Equity,1.3%
31,Titan Company Ltd.,Consumer Discretionary,Equity,1.2%
32,Coal India Ltd.,Energy,Equity,1.2%
33,Hero Motocorp Ltd.,Automobile,Equity,1.2%
34,Tata Motors Ltd. - DVR Ordinary,Automobile,Equity,1.0%
35,Easy Trip Planners Ltd.,Services,Equity,0.9%
36,Laurus Labs Ltd.,Healthcare,Equity,0.9%
37,Zomato Ltd.,Services,Equity,0.8%
38,State Bank of India,Financial,Equity,0.7%
39,Bharti Airtel Ltd.,Communication,Equity,0.7%
40,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,0.6%
41,Housing & Urban Development Corporation Ltd.,Financial,NCD,0.5%
42,Carborundum Universal Ltd.,Metals & Mining,Equity,0.5%
43,Mahindra & Mahindra Ltd.,Automobile,Equity,0.4%
44,Muthoot Finance Ltd.,Financial,Debenture,0.3%
45,Britannia Industries Ltd.,Consumer Staples,Equity,0.2%
46,Housing Development Finance Corporation Ltd.,Financial,Debenture,0.1%
