,Name,Sector,Instrument,Assets
0,Hindustan Unilever Ltd.,Consumer Staples,Equity,7.3%
1,ITC Ltd.,Consumer Staples,Equity,6.0%
2,Godrej Consumer Products Ltd.,Consumer Staples,Equity,5.0%
3,Bharti Airtel Ltd.,Communication,Equity,4.9%
4,Westlife Foodworld Ltd.,Services,Equity,4.4%
5,Avenue Supermarts Ltd.,Services,Equity,4.4%
6,United Spirits Ltd.,Consumer Staples,Equity,3.7%
7,Sapphire Foods India Ltd.,Services,Equity,3.2%
8,Voltas Ltd.,Consumer Discretionary,Equity,3.2%
9,VST Industries Ltd.,Consumer Staples,Equity,3.0%
10,TTK Prestige Ltd.,Consumer Discretionary,Equity,2.8%
11,PVR Ltd.,Services,Equity,2.8%
12,Finolex Cables Ltd.,Capital Goods,Equity,2.7%
13,Maruti Suzuki India Ltd.,Automobile,Equity,2.7%
14,Mahindra & Mahindra Ltd.,Automobile,Equity,2.6%
15,Trent Ltd.,Services,Equity,2.3%
16,The Indian Hotels Company Ltd.,Services,Equity,2.3%
17,SBI Cards And Payment Services Ltd.,Financial,Equity,2.3%
18,Bata India Ltd.,Consumer Staples,Equity,2.3%
19,United Breweries Ltd.,Consumer Staples,Equity,2.2%
20,Marico Ltd.,Consumer Staples,Equity,2.2%
21,Zomato Ltd.,Services,Equity,2.2%
22,ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,2.1%
23,HDFC Bank Ltd.,Financial,Equity,2.1%
24,Interglobe Aviation Ltd.,Services,Equity,2.1%
25,Thyrocare Technologies Ltd.,Healthcare,Equity,1.9%
26,SBI Life Insurance Company Ltd.,Insurance,Equity,1.8%
27,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,1.7%
28,Electronics Mart India Ltd.,Services,Equity,1.6%
29,Jyothy Labs Ltd.,Consumer Staples,Equity,1.6%
30,Kajaria Ceramics Ltd.,Construction,Equity,1.6%
31,TVS Motor Company Ltd.,Automobile,Equity,1.6%
32,Shoppers Stop Ltd.,Services,Equity,1.5%
