,Name,Sector,Instrument,Assets
0,Hitachi Ltd.,Capital Goods,Forgn. Eq,3.2%
1,Nidec Corporation,Capital Goods,Forgn. Eq,3.2%
2,Denso (Japan),Automobile,Forgn. Eq,3.1%
3,Daikin Industries Ltd.,Construction,Forgn. Eq,3.1%
4,Sony Corporation,Consumer Staples,Forgn. Eq,3.1%
5,Sumitomo Electric Industries Ltd.,Capital Goods,Forgn. Eq,3.1%
6,Shin Etsu Chemical Co.,Chemicals,Forgn. Eq,3.1%
7,Toyota Motor Corporation,Automobile,Forgn. Eq,3.1%
8,Fast Retailing Co Ltd.,Services,Forgn. Eq,3.1%
9,Asahi Group Holdings Ltd.,Consumer Staples,Forgn. Eq,3.1%
10,BayCurrent Consulting Inc,Financial,Forgn. Eq,3.1%
11,Dai-Ichi Life Holdings Inc,Insurance,Forgn. Eq,3.1%
12,TDK Corp,Capital Goods,Forgn. Eq,3.1%
13,Mitsubishi (Japan),Automobile,Forgn. Eq,3.0%
14,Shimadsu Corporation,Capital Goods,Forgn. Eq,3.0%
15,Olympus Corp,Healthcare,Forgn. Eq,3.0%
16,Tokyo Electron Ltd.,Capital Goods,Forgn. Eq,3.0%
17,Komatsu Ltd. (Japan),Capital Goods,Forgn. Eq,3.0%
18,Toray Industries Inc,Chemicals,Forgn. Eq,3.0%
19,Trend Micro Inc.,Technology,Forgn. Eq,3.0%
20,Seven & I Holdings Co Ltd.,Diversified,Forgn. Eq,3.0%
21,Nintendo Co Ltd.,Consumer Discretionary,Forgn. Eq,3.0%
22,Mitsubishi UFJ Financial Group Inc,Financial,Forgn. Eq,3.0%
23,Sekisui Chemical Co. Ltd.,Chemicals,Forgn. Eq,3.0%
24,Mitsui Fudosan Co Ltd.,Construction,Forgn. Eq,3.0%
25,Daiwa House Industry Co Ltd.,Construction,Forgn. Eq,2.9%
26,Kyowa Exeo Corp,Construction,Forgn. Eq,2.9%
27,Nippon Telegraph & Telephone Corp.,Communication,Forgn. Eq,2.9%
28,Nitori Holdings Co. Ltd.,Consumer Staples,Forgn. Eq,2.9%
29,Tokio Marine Holdings Inc.,Insurance,Forgn. Eq,2.9%
