,Name,Sector,Instrument,Assets
0,Reliance Industries Ltd.,Energy,Equity,8.1%
1,ICICI Bank Ltd.,Financial,Equity,6.5%
2,Housing Development Finance Corporation Ltd.,Financial,Equity,6.2%
3,HDFC Bank Ltd.,Financial,Equity,5.3%
4,ITC Ltd.,Consumer Staples,Equity,5.1%
5,Larsen & Toubro Ltd.,Construction,Equity,5.1%
6,State Bank of India,Financial,Equity,4.5%
7,Axis Bank Ltd.,Financial,Equity,4.0%
8,Infosys Ltd.,Technology,Equity,3.7%
9,HCL Technologies Ltd.,Technology,Equity,3.4%
10,The Indian Hotels Company Ltd.,Services,Equity,3.3%
11,Bajaj Finance Ltd.,Financial,Equity,2.6%
12,Chalet Hotels Ltd.,Services,Equity,2.4%
13,SBI Cards And Payment Services Ltd.,Financial,Equity,2.4%
14,Tata Motors Ltd.,Automobile,Equity,2.0%
15,Siemens Ltd.,Capital Goods,Equity,1.8%
16,Tata Steel Ltd.,Metals & Mining,Equity,1.6%
17,Bharat Petroleum Corporation Ltd.,Energy,Equity,1.4%
18,Zee Entertainment Enterprises Ltd.,Services,Equity,1.3%
19,EIH Ltd.,Services,Equity,1.3%
20,NTPC Ltd.,Energy,Equity,1.3%
21,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.2%
22,Honeywell Automation India Ltd.,Capital Goods,Equity,1.1%
23,Hindustan Unilever Ltd.,Consumer Staples,Equity,1.1%
24,Torrent Pharmaceuticals Ltd.,Healthcare,Equity,1.1%
25,Mahindra & Mahindra Ltd.,Automobile,Equity,1.1%
26,ABB India Ltd.,Capital Goods,Equity,1.1%
27,Interglobe Aviation Ltd.,Services,Equity,0.9%
28,SBI Life Insurance Company Ltd.,Insurance,Equity,0.9%
29,Bank Of Baroda,Financial,Equity,0.9%
30,Samvardhana Motherson International Ltd.,Automobile,Equity,0.9%
31,Coal India Ltd.,Energy,Equity,0.8%
32,Tata Consumer Products Ltd.,Consumer Staples,Equity,0.8%
33,Linde India Ltd.,Chemicals,Equity,0.8%
34,Godrej Consumer Products Ltd.,Consumer Staples,Equity,0.8%
35,Tech Mahindra Ltd.,Technology,Equity,0.7%
36,Zomato Ltd.,Services,Equity,0.7%
37,3M India Ltd.,Diversified,Equity,0.7%
38,Steel Authority Of India Ltd.,Metals & Mining,Equity,0.7%
39,HDFC Life Insurance Co Ltd.,Insurance,Equity,0.6%
40,Gland Pharma Ltd.,Healthcare,Equity,0.6%
41,United Spirits Ltd.,Consumer Staples,Equity,0.6%
42,Bharti Airtel Ltd.,Communication,Equity,0.6%
43,HDFC Asset Management Company Ltd.,Financial,Equity,0.5%
44,Dixon Technologies (India) Ltd.,Capital Goods,Equity,0.5%
45,Indusind Bank Ltd.,Financial,Equity,0.5%
46,Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,0.5%
47,Britannia Industries Ltd.,Consumer Staples,Equity,0.4%
48,Divi's Laboratories Ltd.,Healthcare,Equity,0.4%
49,GE T&D India Ltd.,Capital Goods,Equity,0.4%
50,Marico Ltd.,Consumer Staples,Equity,0.4%
51,Bandhan Bank Ltd.,Financial,Equity,0.3%
52,Trent Ltd.,Services,Equity,0.3%
53,NHPC Ltd.,Energy,Equity,0.3%
54,Indian Oil Corporation Ltd.,Energy,Equity,0.3%
55,Wipro Ltd.,Technology,Equity,0.3%
56,Bajaj Auto Ltd.,Automobile,Equity,0.3%
57,Bosch Ltd.,Automobile,Equity,0.2%
