,Name,Sector,Instrument,Assets
0,ICICI Bank Ltd.,Financial,Equity,8.5%
1,HDFC Bank Ltd.,Financial,Equity,8.3%
2,Infosys Ltd.,Technology,Equity,6.4%
3,Axis Bank Ltd.,Financial,Equity,4.9%
4,State Bank of India,Financial,Equity,4.5%
5,Housing Development Finance Corporation Ltd.,Financial,Equity,4.0%
6,Reliance Industries Ltd.,Energy,Equity,4.0%
7,Larsen & Toubro Ltd.,Construction,Equity,3.5%
8,NTPC Ltd.,Energy,Equity,2.5%
9,Tata Motors Ltd.,Automobile,Equity,2.1%
10,Bajaj Finance Ltd.,Financial,Equity,2.0%
11,Linde India Ltd.,Chemicals,Equity,2.0%
12,Samvardhana Motherson International Ltd.,Automobile,Equity,2.0%
13,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.9%
14,The Indian Hotels Company Ltd.,Services,Equity,1.9%
15,KSB Ltd.,Capital Goods,Equity,1.9%
16,Jindal Steel & Power Ltd.,Metals & Mining,Equity,1.8%
17,Hindustan Unilever Ltd.,Consumer Staples,Equity,1.7%
18,Ultratech Cement Ltd.,Construction,Equity,1.7%
19,SBI Life Insurance Company Ltd.,Insurance,Equity,1.4%
20,SBI Cards And Payment Services Ltd.,Financial,Equity,1.4%
21,Interglobe Aviation Ltd.,Services,Equity,1.4%
22,Tata Steel Ltd.,Metals & Mining,Equity,1.3%
23,PVR Ltd.,Services,Equity,1.3%
24,Adani Ports and Special Economic Zone Ltd.,Services,Equity,1.3%
25,United Spirits Ltd.,Consumer Staples,Equity,1.3%
26,Automotive Axles Ltd.,Automobile,Equity,1.3%
27,ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,1.2%
28,Max Financial Services Ltd.,Financial,Equity,1.2%
29,Radico Khaitan Ltd.,Consumer Staples,Equity,1.2%
30,Bharti Airtel Ltd. - (Partly Paid up Equity Shares (Rights Issue)),Communication,PPE,1.2%
31,Macrotech Developers Ltd.,Construction,Equity,1.2%
32,Ambuja Cements Ltd.,Construction,Equity,1.1%
33,Gland Pharma Ltd.,Healthcare,Equity,1.1%
34,Gujarat Gas Ltd.,Energy,Equity,1.0%
35,3M India Ltd.,Diversified,Equity,1.0%
36,Bata India Ltd.,Consumer Staples,Equity,1.0%
37,Sundaram-Clayton Ltd.,Automobile,Equity,1.0%
38,Bharat Forge Ltd.,Automobile,Equity,1.0%
39,Tata Consumer Products Ltd.,Consumer Staples,Equity,1.0%
40,Hindalco Industries Ltd.,Metals & Mining,Equity,0.9%
41,Ipca Laboratories Ltd.,Healthcare,Equity,0.9%
42,Power Grid Corporation Of India Ltd.,Energy,Equity,0.8%
43,Tatva Chintan Pharma Chem Ltd.,Chemicals,Equity,0.8%
44,Tata Power Company Ltd.,Energy,Equity,0.7%
45,Cholamandalam Financial Holdings Ltd.,Financial,Equity,0.7%
46,Wheels India Ltd.,Automobile,Equity,0.7%
47,Piramal Enterprises Ltd.,Healthcare,Equity,0.7%
48,KNR Constructions Ltd.,Construction,Equity,0.6%
49,Power Finance Corporation Ltd.,Financial,Equity,0.5%
50,Astral Ltd.,Chemicals,Equity,0.5%
51,Sundaram Clayton Limited,Automobile,Pref. Shares,0.3%
52,Carborundum Universal Ltd.,Metals & Mining,Equity,0.3%
53,Emami Ltd.,Consumer Staples,Equity,0.2%
