,Name,Sector,Instrument,Assets
0,Microsoft Corportion (US),Technology,Forgn. Eq,9.9%
1,Alphabet Inc Class A,Services,Forgn. Eq,8.6%
2,Iqvia Holdings,Healthcare,Forgn. Eq,6.7%
3,Amazon. com Inc. (USA),Services,Forgn. Eq,5.8%
4,Booking Holdings Inc,Services,Forgn. Eq,5.7%
5,Mastercard Inc,Financial,Forgn. Eq,5.6%
6,Amerisource Bergen Corp,Services,Forgn. Eq,5.4%
7,Enbridge Inc.,Energy,Forgn. Eq,5.3%
8,Facebook Co,Services,Forgn. Eq,5.2%
9,Visa Inc,Financial,Forgn. Eq,4.5%
10,Anthem Inc.,Healthcare,Forgn. Eq,4.3%
11,Taiwan Semiconductor Manufacturing Co Ltd. (Taiwan),Capital Goods,ADS/ADR,4.1%
12,Adobe Systems Inc. (USA),Technology,Forgn. Eq,3.4%
13,The Walt Disney Company,Services,Forgn. Eq,3.3%
14,CarMax Inc,Services,Forgn. Eq,3.3%
15,Fidelity National Information Services I,Technology,Forgn. Eq,2.9%
16,United Health Group Inc.,Healthcare,Forgn. Eq,2.9%
17,Charles Schwab Corporation,Financial,Forgn. Eq,2.5%
18,NetFlix Inc. (USA),Services,Forgn. Eq,2.0%
19,Fiserv Inc. (USA),Technology,Forgn. Eq,1.9%
20,Salesforce Com.,Technology,Forgn. Eq,1.5%
21,Ecolab Inc,Chemicals,Forgn. Eq,1.3%
22,Autodesk Inc. (USA),Technology,Forgn. Eq,1.2%
23,CVS Health Corporation,Healthcare,Forgn. Eq,1.1%
