,Name,Sector,Instrument,Assets
0,HDFC Bank Ltd.,Financial,Equity,6.8%
1,ICICI Bank Ltd.,Financial,Equity,5.2%
2,Reliance Industries Ltd.,Energy,Equity,4.4%
3,Larsen & Toubro Ltd.,Construction,Equity,4.3%
4,State Bank of India,Financial,Equity,2.6%
5,Siemens Ltd.,Capital Goods,Equity,2.4%
6,Ultratech Cement Ltd.,Construction,Equity,2.4%
7,NTPC Ltd.,Energy,Equity,2.3%
8,Alkem Laboratories Ltd.,Healthcare,Equity,2.3%
9,Axis Bank Ltd.,Financial,Equity,2.2%
10,HCL Technologies Ltd.,Technology,Equity,2.1%
11,Indraprastha Gas Ltd.,Energy,Equity,2.1%
12,Torrent Pharmaceuticals Ltd.,Healthcare,Equity,2.0%
13,Housing Development Finance Corporation Ltd.,Financial,Equity,1.9%
14,Mahindra & Mahindra Ltd.,Automobile,Equity,1.9%
15,Ashok Leyland Ltd.,Automobile,Equity,1.9%
16,Bharat Petroleum Corporation Ltd.,Energy,Equity,1.7%
17,Infosys Ltd.,Technology,Equity,1.6%
18,TVS Motor Company Ltd.,Automobile,Equity,1.6%
19,Gujarat Fluorochemicals Ltd.,Chemicals,Equity,1.5%
20,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,1.5%
21,SBI Cards And Payment Services Ltd.,Financial,Equity,1.5%
22,Tech Mahindra Ltd.,Technology,Equity,1.5%
23,LIC Housing Finance Ltd.,Financial,Equity,1.4%
24,United Breweries Ltd.,Consumer Staples,Equity,1.4%
25,Godrej Consumer Products Ltd.,Consumer Staples,Equity,1.4%
26,ITC Ltd.,Consumer Staples,Equity,1.4%
27,Syngene International Ltd.,Healthcare,Equity,1.4%
28,Kansai Nerolac Paints Ltd.,Chemicals,Equity,1.3%
29,AU Small Finance Bank Ltd.,Financial,Equity,1.3%
30,ABB India Ltd.,Capital Goods,Equity,1.3%
31,Zydus Lifesciences Ltd.,Healthcare,Equity,1.3%
32,Voltas Ltd.,Consumer Discretionary,Equity,1.3%
33,Bata India Ltd.,Consumer Staples,Equity,1.2%
34,Dixon Technologies (India) Ltd.,Capital Goods,Equity,1.2%
35,Kajaria Ceramics Ltd.,Construction,Equity,1.2%
36,Dalmia Bharat Ltd.,Construction,Equity,1.2%
37,Max Financial Services Ltd.,Financial,Equity,1.1%
38,PB Fintech Ltd.,Services,Equity,1.1%
39,Jindal Steel & Power Ltd.,Metals & Mining,Equity,1.1%
40,Hindustan Unilever Ltd.,Consumer Staples,Equity,1.1%
41,SBI Life Insurance Company Ltd.,Insurance,Equity,1.0%
42,Abbott India Ltd.,Healthcare,Equity,1.0%
43,Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,1.0%
44,Devyani International Ltd.,Services,Equity,0.9%
45,Hindustan Aeronautics Ltd.,Capital Goods,Equity,0.9%
46,Gujarat Gas Ltd.,Energy,Equity,0.9%
47,Aditya Birla Fashion and Retail Ltd.,Services,Equity,0.9%
48,ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,0.8%
49,The Indian Hotels Company Ltd.,Services,Equity,0.8%
50,Bharti Airtel Ltd.,Communication,Equity,0.7%
51,United Spirits Ltd.,Consumer Staples,Equity,0.7%
52,Trent Ltd.,Services,Equity,0.7%
53,Thermax Ltd.,Capital Goods,Equity,0.7%
54,Aurobindo Pharma Ltd.,Healthcare,Equity,0.7%
55,Avenue Supermarts Ltd.,Services,Equity,0.6%
56,Tata Power Company Ltd.,Energy,Equity,0.6%
57,Cummins India Ltd.,Capital Goods,Equity,0.5%
58,Bajaj Finance Ltd.,Financial,Equity,0.5%
59,APL Apollo Tubes Ltd.,Metals & Mining,Equity,0.5%
60,Mphasis Ltd.,Technology,Equity,0.4%
61,Tata Consultancy Services Ltd.,Technology,Equity,0.4%
62,Sundaram Finance Ltd.,Financial,Equity,0.4%
63,K.P.R. Mill Ltd.,Textiles,Equity,0.4%
64,Persistent Systems Ltd.,Technology,Equity,0.4%
65,Pfizer Ltd.,Healthcare,Equity,0.3%
66,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,0.3%
67,Bharat Heavy Electricals Ltd.,Capital Goods,Equity,0.1%
68,Ambuja Cements Ltd.,Construction,Equity,0.1%
