,Name,Sector,Instrument,Assets
0,ICICI Bank Ltd.,Financial,Equity,9.0%
1,Route Mobile Ltd.,Technology,Equity,4.1%
2,Multi Commodity Exchange Of India Ltd.,Services,Equity,4.0%
3,Global Health Ltd.,Healthcare,Equity,3.8%
4,Radico Khaitan Ltd.,Consumer Staples,Equity,3.5%
5,City Union Bank Ltd.,Financial,Equity,3.1%
6,CreditAccess Grameen Ltd.,Financial,Equity,2.9%
7,JK Cement Ltd.,Construction,Equity,2.8%
8,Ceat Ltd.,Automobile,Equity,2.8%
9,Affle (India) Ltd.,Technology,Equity,2.7%
10,Greenply Industries Ltd.,Consumer Staples,Equity,2.5%
11,Somany Ceramics Ltd.,Construction,Equity,2.4%
12,Sanofi India Ltd.,Healthcare,Equity,2.4%
13,Carborundum Universal Ltd.,Metals & Mining,Equity,2.3%
14,Computer Age Management Services Ltd.,Services,Equity,2.2%
15,Esab India Ltd.,Capital Goods,Equity,2.2%
16,Ashok Leyland Ltd.,Automobile,Equity,1.9%
17,Suven Pharmaceuticals Ltd.,Healthcare,Equity,1.9%
18,Graphite India Ltd.,Construction,Equity,1.8%
19,Dollar Industries Ltd.,Textiles,Equity,1.8%
20,Finolex Industries Ltd.,Chemicals,Equity,1.7%
21,Kei Industries Ltd.,Capital Goods,Equity,1.7%
22,HEG Ltd.,Construction,Equity,1.6%
23,Sobha Ltd.,Construction,Equity,1.6%
24,Sagar Cements Ltd.,Construction,Equity,1.5%
25,Kolte-Patil Developers Ltd.,Construction,Equity,1.5%
26,Equitas Small Finance Bank Ltd.,Financial,Equity,1.5%
27,Kirloskar Pneumatic Company Ltd.,Capital Goods,Equity,1.4%
28,Mas Financial Services Ltd.,Financial,Equity,1.4%
29,Central Depository Services (India) Ltd.,Financial,Equity,1.3%
30,Angel One Ltd.,Financial,Equity,1.3%
31,Timken India Ltd.,Capital Goods,Equity,1.3%
32,MM Forgings Ltd.,Metals & Mining,Equity,1.2%
33,Aavas Financiers Ltd.,Financial,Equity,1.2%
34,Bharat Rasayan Ltd.,Chemicals,Equity,1.2%
35,V.S.T. Tillers Tractors Ltd.,Automobile,Equity,1.2%
36,CE Info Systems Ltd.,Technology,Equity,1.2%
37,Nuvoco Vistas Corporation Ltd.,Construction,Equity,1.1%
38,Stove Kraft Ltd.,Consumer Discretionary,Equity,1.0%
39,Indoco Remedies Ltd.,Healthcare,Equity,0.9%
40,Krishna Institute of Medical Sciences Ltd,Healthcare,Equity,0.9%
41,Elin Electronics Ltd.,Capital Goods,Equity,0.7%
42,Oriental Aromatics Ltd.,Chemicals,Equity,0.5%
43,Reserve Bank of India,Financial,T-Bills,0.4%
44,Latent View Analytics Ltd.,Technology,Equity,0.4%
45,Rolex Rings Ltd,Capital Goods,Equity,0.3%
46,Engineers India Ltd.,Construction,Equity,0.2%
47,Vardhman Textiles Ltd.,Textiles,Equity,0.2%
