,Name,Sector,Instrument,Assets
0,Housing Development Finance Corporation Ltd.,Financial,Equity,8.1%
1,ITC Ltd.,Consumer Staples,Equity,7.4%
2,Bajaj Holdings & Investment Ltd.,Financial,Equity,6.8%
3,ICICI Bank Ltd.,Financial,Equity,6.1%
4,Axis Bank Ltd.,Financial,Equity,5.4%
5,Microsoft Corportion (US),Technology,Forgn. Eq,5.3%
6,HCL Technologies Ltd.,Technology,Equity,5.2%
7,Alphabet Inc Class A,Services,Forgn. Eq,4.8%
8,Coal India Ltd.,Energy,Equity,4.7%
9,Power Grid Corporation Of India Ltd.,Energy,Equity,4.6%
10,Amazon. com Inc. (USA),Services,Forgn. Eq,3.4%
11,Facebook Co,Services,Forgn. Eq,3.2%
12,Hero Motocorp Ltd.,Automobile,Equity,3.1%
13,Indian Energy Exchange Ltd.,Services,Equity,1.8%
14,Motilal Oswal Financial Services Ltd.,Financial,Equity,1.5%
15,Central Depository Services (India) Ltd.,Financial,Equity,1.4%
16,Multi Commodity Exchange Of India Ltd.,Services,Equity,1.2%
17,Zydus Lifesciences Ltd.,Healthcare,Equity,1.1%
18,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.0%
19,Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,1.0%
20,NMDC Ltd.,Metals & Mining,Equity,1.0%
21,Reliance Industries Ltd.,Energy,Equity,0.9%
22,Bajaj Finance Ltd.,Financial,Equity,0.8%
23,Ipca Laboratories Ltd.,Healthcare,Equity,0.8%
24,Balkrishna Industries Ltd.,Automobile,Equity,0.8%
25,Infosys Ltd.,Technology,Equity,0.7%
26,Cipla Ltd.,Healthcare,Equity,0.7%
27,UTI Asset Management Company Ltd.,Financial,Equity,0.6%
28,ICRA Ltd.,Services,Equity,0.6%
29,Suzuki Motor Corporation (Japan),Automobile,ADS/ADR,0.5%
30,Kotak Mahindra Bank Ltd.,Financial,Equity,0.5%
31,Oracle Financial Services Software Ltd.,Technology,Equity,0.4%
32,Maruti Suzuki India Ltd.,Automobile,Equity,0.4%
33,NMDC Steel Ltd.,Metals & Mining,Equity,0.3%
34,Axis Bank Ltd.,Financial,Fixed Deposits,0.2%
35,Indusind Bank Ltd.,Financial,Equity,0.2%
36,Tech Mahindra Ltd.,Technology,Equity,0.1%
37,Hindustan Unilever Ltd.,Consumer Staples,Equity,0.1%
38,Maharashtra Scooters Ltd.,Automobile,Equity,0.1%
