,Name,Sector,Instrument,Assets
0,ICICI Bank Ltd.,Financial,Equity,4.4%
1,HDFC Bank Ltd.,Financial,Equity,4.1%
2,Infosys Ltd.,Technology,Equity,4.0%
3,Reliance Industries Ltd.,Energy,Equity,3.0%
4,Dixon Technologies (India) Ltd.,Engineering,Equity,3.0%
5,Bajaj Finance Ltd.,Financial,Equity,2.5%
6,TCI Express Ltd.,Services,Equity,2.3%
7,Sona BLW Precision Forgings Ltd.,Automobile,Equity,2.2%
8,Housing Development Finance Corpn. Ltd.,Financial,Equity,2.2%
9,BEML Ltd,Engineering,Equity,2.1%
10,Bajaj Finserv Ltd.,Financial,Equity,2.1%
11,Larsen & Toubro Ltd.,Construction,Equity,2.1%
12,Mphasis Ltd.,Technology,Equity,2.0%
13,Avenue Supermarts Ltd.,Services,Equity,2.0%
14,Tata Motors Ltd.,Automobile,Equity,2.0%
15,Divi's Laboratories Ltd.,Healthcare,Equity,2.0%
16,Mold-Tek Packaging Ltd.,Chemicals,Equity,1.9%
17,Navin Fluorine International Ltd.,Chemicals,Equity,1.7%
18,Polycab India Ltd.,Engineering,Equity,1.7%
19,Max Financial Services Ltd.,Financial,Equity,1.7%
20,Canara Bank,Financial,Equity,1.6%
21,Fortis Healthcare Ltd.,Healthcare,Equity,1.6%
22,Tata Consultancy Services Ltd.,Technology,Equity,1.5%
23,Relaxo Footwears Ltd.,FMCG,Equity,1.5%
24,Axis Bank Ltd.,Financial,Equity,1.5%
25,SKF India Ltd.,Engineering,Equity,1.4%
26,Atul Ltd.,Chemicals,Equity,1.4%
27,Tata Power Company Ltd.,Energy,Equity,1.4%
28,Godrej Properties Ltd.,Construction,Equity,1.3%
29,Ashok Leyland Ltd.,Automobile,Equity,1.3%
30,Indian Bank,Financial,Equity,1.3%
31,Shree Cement Ltd.,Construction,Equity,1.2%
32,Hindalco Industries Ltd.,Metals,Equity,1.2%
33,Bank Of Baroda,Financial,Equity,1.2%
34,Ultratech Cement Ltd.,Construction,Equity,1.2%
35,Astral Ltd.,Chemicals,Equity,1.2%
36,Bharti Airtel Ltd.,Communication,Equity,1.2%
37,Wipro Ltd.,Technology,Equity,1.2%
38,Gujarat Gas Ltd.,Energy,Equity,1.2%
39,Motherson Sumi Systems Ltd.,Automobile,Equity,1.2%
40,L&T Finance Holdings Ltd.,Financial,Equity,1.1%
41,Natco Pharma Ltd.,Healthcare,Equity,1.1%
42,State Bank of India,Financial,Equity,1.1%
43,Tata Steel Ltd.,Metals,Equity,1.1%
44,Maruti Suzuki India Ltd.,Automobile,Equity,1.0%
45,Varun Beverages Ltd.,FMCG,Equity,1.0%
46,Jubilant FoodWorks Ltd.,Services,Equity,1.0%
47,Laurus Labs Ltd.,Healthcare,Equity,1.0%
48,SRF Ltd.,Diversified,Equity,1.0%
49,Ipca Laboratories Ltd.,Healthcare,Equity,1.0%
50,Rossari Biotech Ltd.,Chemicals,Equity,0.9%
51,Sundram Fasteners Ltd.,Engineering,Equity,0.9%
52,Minda Industries Ltd.,Automobile,Equity,0.9%
53,Indraprastha Gas Ltd.,Energy,Equity,0.8%
54,Kajaria Ceramics Ltd.,Construction,Equity,0.7%
55,Indusind Bank Ltd.,Financial,Equity,0.6%
56,Hindustan Unilever Ltd.,FMCG,Equity,0.6%
57,Balkrishna Industries Ltd.,Automobile,Equity,0.5%
58,Bharat Petroleum Corporation Ltd.,Energy,Equity,0.5%
59,AIA Engineering Ltd.,Metals,Equity,0.4%
60,Gujarat State Petronet Ltd.,Energy,Equity,0.3%
61,PB Fintech Ltd.,Services,Equity,0.2%
62,PI Industries Ltd.,Chemicals,Equity,0.1%
