,Name,Sector,Instrument,Assets
0,Polycab India Ltd.,Engineering,Equity,4.7%
1,The Federal Bank Ltd.,Financial,Equity,3.5%
2,Ashok Leyland Ltd.,Automobile,Equity,3.2%
3,Crompton Greaves Consumer Electricals Ltd.,Consumer Durable,Equity,2.3%
4,Zee Entertainment Enterprises Ltd.,Services,Equity,2.3%
5,Solar Industries India Ltd.,Chemicals,Equity,2.1%
6,BEML Ltd,Engineering,Equity,2.1%
7,ICICI Bank Ltd.,Financial,Equity,2.1%
8,MindTree Ltd.,Technology,Equity,2.0%
9,State Bank of India,Financial,Equity,2.0%
10,Bank Of Baroda,Financial,Equity,2.0%
11,Persistent Systems Ltd.,Technology,Equity,1.9%
12,Cholamandalam Investment & Finance Company Ltd.,Financial,Equity,1.9%
13,Coforge Ltd.,Technology,Equity,1.9%
14,Shriram Transport Finance Company Ltd.,Financial,Equity,1.9%
15,Subros Ltd.,Automobile,Equity,1.8%
16,Canara Bank,Financial,Equity,1.8%
17,Ipca Laboratories Ltd.,Healthcare,Equity,1.8%
18,Gujarat State Petronet Ltd.,Energy,Equity,1.7%
19,Trent Ltd.,Services,Equity,1.7%
20,Tata Steel Ltd.,Metals,Equity,1.7%
21,Astral Ltd.,Chemicals,Equity,1.6%
22,Max Financial Services Ltd.,Financial,Equity,1.6%
23,Fortis Healthcare Ltd.,Healthcare,Equity,1.6%
24,Phoenix Mills Ltd.,Construction,Equity,1.6%
25,Indian Bank,Financial,Equity,1.6%
26,Tata Power Company Ltd.,Energy,Equity,1.5%
27,Voltas Ltd.,Consumer Durable,Equity,1.5%
28,ICRA Ltd.,Services,Equity,1.4%
29,Can Fin Homes Ltd.,Financial,Equity,1.4%
30,Schaeffler India Ltd.,Engineering,Equity,1.4%
31,SRF Ltd.,Diversified,Equity,1.4%
32,Kei Industries Ltd.,Engineering,Equity,1.4%
33,Zydus Wellness Ltd.,FMCG,Equity,1.4%
34,PI Industries Ltd.,Chemicals,Equity,1.3%
35,Indoco Remedies Ltd.,Healthcare,Equity,1.3%
36,Brigade Enterprises Ltd.,Construction,Equity,1.3%
37,Sona BLW Precision Forgings Ltd.,Automobile,Equity,1.3%
38,Honeywell Automation India Ltd.,Engineering,Equity,1.3%
39,Minda Industries Ltd.,Automobile,Equity,1.2%
40,Crisil Ltd.,Services,Equity,1.2%
41,Westlife Development Ltd.,Services,Equity,1.2%
42,Aarti Industries Ltd.,Chemicals,Equity,1.1%
43,Navin Fluorine International Ltd.,Chemicals,Equity,1.1%
44,ABB India Ltd.,Engineering,Equity,1.1%
45,Amber Enterprises India Ltd.,Consumer Durable,Equity,1.1%
46,Metropolis Healthcare Ltd.,Healthcare,Equity,1.0%
47,UTI Asset Management Company Ltd.,Financial,Equity,1.0%
48,Bharti Airtel Ltd. Partly Paid Equity,Communication,PPE,1.0%
49,VIP Industries Ltd.,Chemicals,Equity,1.0%
50,Atul Ltd.,Chemicals,Equity,1.0%
51,Bata India Ltd.,FMCG,Equity,0.9%
52,Tata Motors Ltd.,Automobile,Equity,0.9%
53,Bharat Forge Ltd.,Automobile,Equity,0.9%
54,Laurus Labs Ltd.,Healthcare,Equity,0.9%
55,Kansai Nerolac Paints Ltd.,Chemicals,Equity,0.9%
56,The Ramco Cements Ltd.,Construction,Equity,0.9%
57,Ceat Ltd.,Automobile,Equity,0.8%
58,Ajanta Pharma Ltd.,Healthcare,Equity,0.8%
59,PVR Ltd.,Services,Equity,0.8%
60,Emami Ltd.,FMCG,Equity,0.8%
61,Syngene International Ltd.,Healthcare,Equity,0.8%
62,AIA Engineering Ltd.,Metals,Equity,0.8%
63,Force Motors Ltd.,Automobile,Equity,0.8%
64,Relaxo Footwears Ltd.,FMCG,Equity,0.8%
65,TVS Motor Company Ltd.,Automobile,Equity,0.5%
66,Multi Commodity Exchange Of India Ltd.,Services,Equity,0.3%
67,FSN E-Commerce Ventures Ltd.,Services,Equity,0.3%
68,MRF Ltd.,Automobile,Equity,0.3%
