,Name,Sector,Instrument,Assets
0,Reliance Industries Ltd.,Energy,Equity,9.7%
1,HDFC Bank Ltd.,Financial,Equity,9.6%
2,Larsen & Toubro Ltd.,Construction,Equity,9.2%
3,State Bank of India,Financial,Equity,8.2%
4,NTPC Ltd.,Energy,Equity,7.3%
5,Ultratech Cement Ltd.,Construction,Equity,7.3%
6,LTIMindtree Ltd.,Technology,Equity,7.1%
7,Tata Motors Ltd.,Automobile,Equity,4.6%
8,Hindalco Industries Ltd.,Metals & Mining,Equity,4.4%
9,HCL Technologies Ltd.,Technology,Equity,4.4%
10,Tata Consumer Products Ltd.,Consumer Staples,Equity,4.0%
11,Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,3.9%
12,Macrotech Developers Ltd.,Construction,Equity,3.3%
13,Wipro Ltd.,Technology,Equity,3.3%
14,Mahindra & Mahindra Ltd.,Automobile,Equity,2.9%
15,Power Grid Corporation Of India Ltd.,Energy,Equity,2.4%
16,Infosys Ltd.,Technology,Equity,2.2%
17,Shree Cement Ltd.,Construction,Equity,2.0%
18,Bosch Ltd.,Automobile,Equity,0.8%
19,Coal India Ltd.,Energy,Equity,0.5%
20,Housing Development Finance Corporation Ltd.,Financial,Equity,0.3%
