,Name,Sector,Instrument,Assets
0,Reliance Industries Ltd.,Energy,Equity,9.5%
1,HDFC Bank Ltd.,Financial,Equity,9.2%
2,State Bank of India,Financial,Equity,6.3%
3,Larsen & Toubro Ltd.,Construction,Equity,6.2%
4,Ultratech Cement Ltd.,Construction,Equity,4.8%
5,Jindal Steel & Power Ltd.,Metals & Mining,Equity,4.3%
6,Zensar Technologies Ltd.,Technology,Equity,4.2%
7,LTIMindtree Ltd.,Technology,Equity,3.6%
8,Macrotech Developers Ltd.,Construction,Equity,3.5%
9,Tata Motors Ltd.,Automobile,Equity,3.5%
10,Divgi TorqTransfer Systems Ltd.,Automobile,Equity,3.3%
11,Bikaji Foods International Ltd.,Consumer Staples,Equity,3.3%
12,Voltas Ltd.,Consumer Discretionary,Equity,3.2%
13,RBL Bank Ltd.,Financial,Equity,2.6%
14,Sula Vineyards Ltd.,Consumer Staples,Equity,2.5%
15,Aurobindo Pharma Ltd.,Healthcare,Equity,2.4%
16,Delta Corp Ltd.,Services,Equity,2.1%
17,Infosys Ltd.,Technology,Equity,2.1%
18,Hindalco Industries Ltd.,Metals & Mining,Equity,2.1%
19,Usha Martin Ltd.,Metals & Mining,Equity,1.9%
20,Bosch Ltd.,Automobile,Equity,1.7%
21,Shree Cement Ltd.,Construction,Equity,1.6%
22,Mahindra & Mahindra Ltd.,Automobile,Equity,1.5%
23,Torrent Power Ltd.,Energy,Equity,1.3%
24,Wipro Ltd.,Technology,Equity,1.2%
25,HCL Technologies Ltd.,Technology,Equity,1.0%
26,ITD Cementation India Ltd.,Construction,Equity,0.8%
