,Name,Sector,Instrument,Assets
0,Reliance Industries Ltd.,Energy,Equity,9.7%
1,HDFC Bank Ltd.,Financial,Equity,9.5%
2,ITC Ltd.,Consumer Staples,Equity,8.6%
3,Larsen & Toubro Ltd.,Construction,Equity,5.7%
4,State Bank of India,Financial,Equity,5.7%
5,Life Insurance Corporation of India,Insurance,Equity,5.5%
6,Ultratech Cement Ltd.,Construction,Equity,4.9%
7,NTPC Ltd.,Energy,Equity,4.6%
8,LTIMindtree Ltd.,Technology,Equity,4.6%
9,Capri Global Capital Ltd.,Financial,Equity,3.3%
10,Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,3.2%
11,Punjab National Bank,Financial,Equity,2.4%
12,The Indian Hotels Company Ltd.,Services,Equity,2.2%
13,Wipro Ltd.,Technology,Equity,2.1%
14,Macrotech Developers Ltd.,Construction,Equity,2.0%
15,Hindalco Industries Ltd.,Metals & Mining,Equity,1.9%
16,Bharat Petroleum Corporation Ltd.,Energy,Equity,1.9%
17,IRB Infrastructure Developers Ltd.,Construction,Equity,1.8%
18,Bosch Ltd.,Automobile,Equity,1.7%
19,HCL Technologies Ltd.,Technology,Equity,1.6%
20,Tata Motors Ltd.,Automobile,Equity,1.5%
21,Jindal Stainless Ltd.,Metals & Mining,Equity,1.4%
22,Linde India Ltd.,Chemicals,Equity,1.3%
23,Union Bank of India,Financial,Equity,1.3%
24,Bikaji Foods International Ltd.,Consumer Staples,Equity,1.1%
25,Tata Consumer Products Ltd.,Consumer Staples,Equity,1.1%
26,UPL Ltd.,Chemicals,Equity,1.0%
27,Power Finance Corporation Ltd.,Financial,Equity,0.9%
28,TV18 Broadcast Ltd.,Services,Equity,0.8%
29,Sula Vineyards Ltd.,Consumer Staples,Equity,0.7%
30,Power Grid Corporation Of India Ltd.,Energy,Equity,0.6%
31,Hindustan Copper Ltd.,Metals & Mining,Equity,0.6%
32,Delta Corp Ltd.,Services,Equity,0.6%
33,Aegis Logistics Ltd.,Services,Equity,0.5%
34,VRL Logistics Ltd.,Services,Equity,0.4%
35,Fortis Healthcare Ltd.,Healthcare,Equity,0.4%
36,Shree Cement Ltd.,Construction,Equity,0.4%
