,Name,Sector,Instrument,Assets
0,ICICI Bank Ltd.,Financial,Equity,17.7%
1,HDFC Bank Ltd.,Financial,Equity,13.8%
2,Kotak Mahindra Bank Ltd.,Financial,Equity,8.3%
3,State Bank of India,Financial,Equity,6.9%
4,Axis Bank Ltd.,Financial,Equity,5.7%
5,Bajaj Finance Ltd.,Financial,Equity,5.5%
6,Housing Development Finance Corporation Ltd.,Financial,Equity,4.9%
7,LIC Housing Finance Ltd.,Financial,Equity,4.8%
8,Bank Of Baroda,Financial,Equity,4.4%
9,Karur Vysya Bank Ltd.,Financial,Equity,3.8%
10,Bandhan Bank Ltd.,Financial,Equity,3.6%
11,Bank of India,Financial,Equity,3.0%
12,ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,2.9%
13,Muthoot Finance Ltd.,Financial,Equity,2.3%
14,HDFC Life Insurance Co Ltd.,Insurance,Equity,2.2%
15,SBI Cards And Payment Services Ltd.,Financial,Equity,1.8%
16,CreditAccess Grameen Ltd.,Financial,Equity,1.8%
17,The Federal Bank Ltd.,Financial,Equity,1.8%
18,SBI Life Insurance Company Ltd.,Insurance,Equity,1.5%
19,Canara Bank,Financial,Equity,1.0%
20,Housing Development Finance Corporation Ltd.,Financial,Warrant,0.4%
21,Multi Commodity Exchange Of India Ltd.,Services,Equity,0.1%
