,Name,Sector,Instrument,Assets
0,HDFC Bank Ltd.,Financial,Equity,9.2%
1,ICICI Bank Ltd.,Financial,Equity,8.5%
2,ITC Ltd.,Consumer Staples,Equity,5.5%
3,Infosys Ltd.,Technology,Equity,5.3%
4,Larsen & Toubro Ltd.,Construction,Equity,4.8%
5,Reliance Industries Ltd.,Energy,Equity,4.2%
6,Page Industries Ltd.,Textiles,Equity,3.5%
7,Bajaj Finance Ltd.,Financial,Equity,2.8%
8,Axis Bank Ltd.,Financial,Equity,2.7%
9,Housing Development Finance Corporation Ltd.,Financial,Equity,2.7%
10,Britannia Industries Ltd.,Consumer Staples,Equity,2.7%
11,Mahindra & Mahindra Ltd.,Automobile,Equity,2.5%
12,Divi's Laboratories Ltd.,Healthcare,Equity,2.3%
13,Eicher Motors Ltd.,Automobile,Equity,2.2%
14,Shree Cement Ltd.,Construction,Equity,2.1%
15,Cummins India Ltd.,Capital Goods,Equity,2.1%
16,Bharti Airtel Ltd.,Communication,Equity,2.1%
17,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.9%
18,State Bank of India,Financial,Equity,1.8%
19,Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,1.8%
20,Hindalco Industries Ltd.,Metals & Mining,Equity,1.6%
21,Ultratech Cement Ltd.,Construction,Equity,1.4%
22,Kotak Mahindra Bank Ltd.,Financial,Equity,1.3%
23,Cipla Ltd.,Healthcare,Equity,1.2%
24,Sona BLW Precision Forgings Ltd.,Automobile,Equity,1.2%
25,HDFC Life Insurance Co Ltd.,Insurance,Equity,1.2%
26,Maruti Suzuki India Ltd.,Automobile,Equity,1.2%
27,DLF Ltd.,Construction,Equity,1.2%
28,Thermax Ltd.,Capital Goods,Equity,1.2%
29,ICICI Prudential Life Insurance Company Ltd.,Insurance,Equity,1.1%
30,Bajaj Auto Ltd.,Automobile,Equity,1.0%
31,ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,0.9%
32,Samvardhana Motherson International Ltd.,Automobile,Equity,0.9%
33,SKF India Ltd.,Capital Goods,Equity,0.9%
34,Max Healthcare Institute Ltd.,Healthcare,Equity,0.9%
35,Schaeffler India Ltd.,Capital Goods,Equity,0.8%
36,TVS Motor Company Ltd.,Automobile,Equity,0.7%
37,Godrej Properties Ltd.,Construction,Equity,0.7%
38,Hero Motocorp Ltd.,Automobile,Equity,0.7%
39,Motherson Sumi Wiring India Ltd.,Automobile,Equity,0.6%
40,Indian Oil Corporation Ltd.,Energy,Equity,0.6%
41,PI Industries Ltd.,Chemicals,Equity,0.5%
42,Hindustan Petroleum Corporation Ltd.,Energy,Equity,0.5%
43,Bharat Petroleum Corporation Ltd.,Energy,Equity,0.4%
44,Avenue Supermarts Ltd.,Services,Equity,0.4%
45,Life Insurance Corporation of India,Insurance,Equity,0.3%
46,Housing Development Finance Corporation Ltd.,Financial,Warrant,0.3%
47,Reserve Bank of India,Financial,T-Bills,0.1%
48,Zomato Ltd.,Services,Equity,0.1%
