,Name,Sector,Instrument,Assets
0,ICICI Bank Ltd.,Financial,Equity,8.6%
1,HDFC Bank Ltd.,Financial,Equity,6.3%
2,ITC Ltd.,Consumer Staples,Equity,5.7%
3,Infosys Ltd.,Technology,Equity,4.7%
4,Kotak Mahindra Bank Ltd.,Financial,Equity,4.1%
5,Axis Bank Ltd.,Financial,Equity,3.8%
6,State Bank of India,Financial,Equity,2.9%
7,Reliance Industries Ltd.,Energy,Equity,2.7%
8,Alphabet Inc Class A,Services,Forgn. Eq,2.6%
9,Bank Of Baroda,Financial,Equity,2.5%
10,Bharti Airtel Ltd.,Communication,Equity,2.4%
11,Larsen & Toubro Ltd.,Construction,Equity,2.4%
12,Carborundum Universal Ltd.,Metals & Mining,Equity,2.0%
13,Nuvoco Vistas Corporation Ltd.,Construction,Equity,1.9%
14,Hindalco Industries Ltd.,Metals & Mining,Equity,1.9%
15,Max Healthcare Institute Ltd.,Healthcare,Equity,1.7%
16,GAIL (India) Ltd.,Energy,Equity,1.6%
17,Bajaj Finance Ltd.,Financial,Equity,1.6%
18,Tech Mahindra Ltd.,Technology,Equity,1.5%
19,Bharat Petroleum Corporation Ltd.,Energy,Equity,1.4%
20,ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,1.4%
21,The Indian Hotels Company Ltd.,Services,Equity,1.3%
22,ZF Commercial Vehicle Control Systems India Ltd.,Automobile,Equity,1.3%
23,Sona BLW Precision Forgings Ltd.,Automobile,Equity,1.3%
24,Maruti Suzuki India Ltd.,Automobile,Equity,1.2%
25,Page Industries Ltd.,Textiles,Equity,1.2%
26,Oil & Natural Gas Corporation Ltd.,Energy,Equity,1.2%
27,Microsoft Corportion (US),Technology,Forgn. Eq,1.1%
28,V-Guard Industries Ltd.,Consumer Discretionary,Equity,1.1%
29,TVS Motor Company Ltd.,Automobile,Equity,1.1%
30,Mahindra & Mahindra Ltd.,Automobile,Equity,1.1%
31,SRF Ltd.,Diversified,Equity,1.1%
32,Bharat Forge Ltd.,Automobile,Equity,1.1%
33,Havells India Ltd.,Capital Goods,Equity,1.1%
34,Cipla Ltd.,Healthcare,Equity,1.0%
35,K.P.R. Mill Ltd.,Textiles,Equity,1.0%
36,Container Corporation Of India Ltd.,Services,Equity,0.9%
37,PVR Ltd.,Services,Equity,0.9%
38,Interglobe Aviation Ltd.,Services,Equity,0.9%
39,Divi's Laboratories Ltd.,Healthcare,Equity,0.9%
40,United Breweries Ltd.,Consumer Staples,Equity,0.9%
41,Torrent Power Ltd.,Energy,Equity,0.9%
42,Bandhan Bank Ltd.,Financial,Equity,0.9%
43,UNO Minda Ltd.,Automobile,Equity,0.9%
44,Sheela Foam Ltd.,Consumer Discretionary,Equity,0.9%
45,CESC Ltd.,Energy,Equity,0.9%
46,Delhivery Ltd.,Services,Equity,0.8%
47,GR Infraprojects Ltd.,Construction,Equity,0.8%
48,Narayana Hrudayalaya Ltd.,Healthcare,Equity,0.7%
49,Relaxo Footwears Ltd.,Consumer Staples,Equity,0.7%
50,Star Cement Ltd.,Construction,Equity,0.7%
51,Camlin Fine Sciences Ltd.,Chemicals,Equity,0.7%
52,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,0.7%
53,Rossari Biotech Ltd.,Chemicals,Equity,0.6%
54,Life Insurance Corporation of India,Insurance,Equity,0.3%
55,Reserve Bank of India,Financial,T-Bills,0.1%
