,Name,Sector,Instrument,Assets
0,HDFC Bank Ltd.,Financial,Equity,7.7%
1,ICICI Bank Ltd.,Financial,Equity,7.6%
2,Alphabet Inc Class A,Services,Forgn. Eq,6.2%
3,Muthoot Finance Ltd.,Financial,Equity,5.6%
4,Bharti Airtel Ltd.,Communication,Equity,5.4%
5,State Bank of India,Financial,Equity,5.3%
6,Procter & Gamble Hygiene and Health Care Ltd.,Consumer Staples,Equity,5.2%
7,Solar Industries India Ltd.,Chemicals,Equity,4.7%
8,Bajaj Finance Ltd.,Financial,Equity,4.4%
9,Divi's Laboratories Ltd.,Healthcare,Equity,4.3%
10,Kotak Mahindra Bank Ltd.,Financial,Equity,3.3%
11,ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,3.3%
12,NHPC Ltd.,Energy,Equity,3.2%
13,Maruti Suzuki India Ltd.,Automobile,Equity,3.1%
14,ZF Commercial Vehicle Control Systems India Ltd.,Automobile,Equity,2.9%
15,Max Healthcare Institute Ltd.,Healthcare,Equity,2.8%
16,Page Industries Ltd.,Textiles,Equity,2.7%
17,Bharti Airtel Ltd. - (Partly Paid up Equity Shares (Rights Issue)),Communication,PPE,2.6%
18,Relaxo Footwears Ltd.,Consumer Staples,Equity,2.6%
19,Hatsun Agro Product Ltd.,Consumer Staples,Equity,2.5%
20,Medplus Health Services Ltd.,Healthcare,Equity,1.9%
21,Delhivery Ltd.,Services,Equity,1.8%
22,Torrent Power Ltd.,Energy,Equity,1.7%
23,Avenue Supermarts Ltd.,Services,Equity,1.3%
24,Reserve Bank of India,Financial,T-Bills,0.8%
