,Name,Sector,Instrument,Assets
0,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,16.7%
1,Max Healthcare Institute Ltd.,Healthcare,Equity,9.2%
2,Cipla Ltd.,Healthcare,Equity,8.4%
3,Aether Industries Ltd.,Chemicals,Equity,7.1%
4,Global Health Ltd.,Healthcare,Equity,5.9%
5,Rainbow Children's Medicare Ltd.,Healthcare,Equity,5.5%
6,Krishna Institute of Medical Sciences Ltd,Healthcare,Equity,4.8%
7,Abbott India Ltd.,Healthcare,Equity,4.4%
8,Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,4.3%
9,Medplus Health Services Ltd.,Healthcare,Equity,3.7%
10,Alkem Laboratories Ltd.,Healthcare,Equity,3.4%
11,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,3.1%
12,Torrent Pharmaceuticals Ltd.,Healthcare,Equity,3.1%
13,Fortis Healthcare Ltd.,Healthcare,Equity,2.9%
14,Narayana Hrudayalaya Ltd.,Healthcare,Equity,2.9%
15,Lupin Ltd.,Healthcare,Equity,2.9%
16,Divi's Laboratories Ltd.,Healthcare,Equity,2.7%
17,Zydus Lifesciences Ltd.,Healthcare,Equity,2.5%
18,Gland Pharma Ltd.,Healthcare,Equity,2.0%
19,Ami Organics Ltd.,Healthcare,Equity,1.7%
20,Gufic Biosciences Ltd.,Healthcare,Equity,1.2%
21,Shreno Ltd.,Construction,Equity,0.4%
