,Name,Sector,Instrument,Assets
0,Reliance Industries Ltd.,Energy,Equity,8.2%
1,Bharti Airtel Ltd.,Communication,Equity,5.8%
2,Larsen & Toubro Ltd.,Construction,Equity,5.7%
3,Torrent Power Ltd.,Energy,Equity,4.8%
4,Shree Cement Ltd.,Construction,Equity,4.1%
5,Ahluwalia Contracts (India) Ltd.,Construction,Equity,3.9%
6,Carborundum Universal Ltd.,Metals & Mining,Equity,3.9%
7,HDFC Bank Ltd.,Financial,Equity,3.7%
8,Tega Industries Ltd.,Metals & Mining,Equity,3.7%
9,The Ramco Cements Ltd.,Construction,Equity,3.6%
10,Ultratech Cement Ltd.,Construction,Equity,3.2%
11,Tata Steel Ltd.,Metals & Mining,Equity,3.0%
12,National Highways Infra Trust,Construction,Equity,2.9%
13,Ingersoll-Rand (India) Ltd.,Capital Goods,Equity,2.8%
14,Brigade Enterprises Ltd.,Construction,Equity,2.7%
15,Axis Bank Ltd.,Financial,Equity,2.7%
16,Chalet Hotels Ltd.,Services,Equity,2.7%
17,Nuvoco Vistas Corporation Ltd.,Construction,Equity,2.5%
18,Kalpataru Power Transmission Ltd.,Capital Goods,Equity,2.4%
19,GAIL (India) Ltd.,Energy,Equity,2.4%
20,Max Healthcare Institute Ltd.,Healthcare,Equity,2.3%
21,MRF Ltd.,Automobile,Equity,2.0%
22,UNO Minda Ltd.,Automobile,Equity,2.0%
23,ZF Commercial Vehicle Control Systems India Ltd.,Automobile,Equity,2.0%
24,AIA Engineering Ltd.,Metals & Mining,Equity,1.9%
25,Bharat Petroleum Corporation Ltd.,Energy,Equity,1.8%
26,CESC Ltd.,Energy,Equity,1.8%
27,Thermax Ltd.,Capital Goods,Equity,1.7%
28,GE T&D India Ltd.,Capital Goods,Equity,1.6%
29,Elin Electronics Ltd.,Capital Goods,Equity,1.4%
30,Esab India Ltd.,Capital Goods,Equity,1.4%
31,Hindalco Industries Ltd.,Metals & Mining,Equity,1.4%
32,Disa India Ltd.,Capital Goods,Equity,1.2%
33,Delhivery Ltd.,Services,Equity,0.9%
