,Name,Sector,Instrument,Assets
0,Infosys Ltd.,Technology,Equity,7.4%
1,Tata Consultancy Services Ltd.,Technology,Equity,7.1%
2,ICICI Bank Ltd.,Financial,Equity,6.3%
3,Housing Development Finance Corporation Ltd.,Financial,Equity,6.3%
4,Axis Bank Ltd.,Financial,Equity,4.8%
5,Larsen & Toubro Ltd.,Construction,Equity,4.4%
6,Ultratech Cement Ltd.,Construction,Equity,4.1%
7,State Bank of India,Financial,Equity,3.3%
8,Britannia Industries Ltd.,Consumer Staples,Equity,3.1%
9,ABB India Ltd.,Capital Goods,Equity,3.0%
10,Maruti Suzuki India Ltd.,Automobile,Equity,3.0%
11,Mahindra & Mahindra Ltd.,Automobile,Equity,3.0%
12,TVS Motor Company Ltd.,Automobile,Equity,2.7%
13,Microsoft Corportion (US),Technology,Forgn. Eq,2.6%
14,Cummins India Ltd.,Capital Goods,Equity,2.6%
15,HDFC Bank Ltd.,Financial,Equity,2.6%
16,Page Industries Ltd.,Textiles,Equity,2.5%
17,Titan Company Ltd.,Consumer Discretionary,Equity,2.0%
18,Kotak Mahindra Bank Ltd.,Financial,Equity,2.0%
19,Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,1.9%
20,Asian Paints Ltd.,Chemicals,Equity,1.8%
21,Hindalco Industries Ltd.,Metals & Mining,Equity,1.8%
22,Sona BLW Precision Forgings Ltd.,Automobile,Equity,1.7%
23,Divi's Laboratories Ltd.,Healthcare,Equity,1.6%
24,L&T Technology Services Ltd.,Technology,Equity,1.5%
25,Timken India Ltd.,Capital Goods,Equity,1.4%
26,Jubilant FoodWorks Ltd.,Services,Equity,1.4%
27,HDFC Asset Management Company Ltd.,Financial,Equity,1.4%
28,FSN E-Commerce Ventures Ltd.,Services,Equity,1.3%
29,Interglobe Aviation Ltd.,Services,Equity,1.3%
30,Tech Mahindra Ltd.,Technology,Equity,1.3%
31,Cipla Ltd.,Healthcare,Equity,1.2%
32,PVR Ltd.,Services,Equity,1.2%
33,Reliance Industries Ltd.,Energy,Equity,1.2%
34,Brigade Enterprises Ltd.,Construction,Equity,1.1%
35,CreditAccess Grameen Ltd.,Financial,Equity,1.0%
36,Schaeffler India Ltd.,Capital Goods,Equity,0.9%
