,Name,Sector,Instrument,Assets
0,Maruti Suzuki India Ltd.,Automobile,Equity,9.1%
1,Procter & Gamble Hygiene and Health Care Ltd.,Consumer Staples,Equity,7.5%
2,Alphabet Inc Class A,Services,Forgn. Eq,6.8%
3,Divi's Laboratories Ltd.,Healthcare,Equity,5.3%
4,Hindustan Unilever Ltd.,Consumer Staples,Equity,5.3%
5,Page Industries Ltd.,Textiles,Equity,5.2%
6,Aether Industries Ltd.,Chemicals,Equity,4.7%
7,Grindwell Norton Ltd.,Metals & Mining,Equity,4.6%
8,CCL Products (India) Ltd.,Consumer Staples,Equity,4.2%
9,Abbott India Ltd.,Healthcare,Equity,4.1%
10,SKF India Ltd.,Capital Goods,Equity,4.0%
11,Schaeffler India Ltd.,Capital Goods,Equity,3.8%
12,United Breweries Ltd.,Consumer Staples,Equity,3.7%
13,Microsoft Corportion (US),Technology,Forgn. Eq,3.4%
14,Timken India Ltd.,Capital Goods,Equity,2.8%
15,ZF Commercial Vehicle Control Systems India Ltd.,Automobile,Equity,2.7%
16,Esab India Ltd.,Capital Goods,Equity,1.7%
17,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.3%
18,Kennametal India Ltd.,Capital Goods,Equity,1.1%
19,Nestle India Ltd.,Consumer Staples,Equity,1.1%
20,Sona BLW Precision Forgings Ltd.,Automobile,Equity,0.5%
21,Gland Pharma Ltd.,Healthcare,Equity,0.4%
