,Name,Sector,Instrument,Assets
0,State Bank of India,Financial,Equity,6.8%
1,TVS Motor Company Ltd.,Automobile,Equity,5.5%
2,ICICI Bank Ltd.,Financial,Equity,5.3%
3,Axis Bank Ltd.,Financial,Equity,3.7%
4,K.P.R. Mill Ltd.,Textiles,Equity,3.5%
5,Bajaj Finance Ltd.,Financial,Equity,3.4%
6,Maruti Suzuki India Ltd.,Automobile,Equity,3.4%
7,PVR Ltd.,Services,Equity,3.3%
8,Divi's Laboratories Ltd.,Healthcare,Equity,3.2%
9,Hindalco Industries Ltd.,Metals & Mining,Equity,3.2%
10,Interglobe Aviation Ltd.,Services,Equity,3.1%
11,Max Healthcare Institute Ltd.,Healthcare,Equity,3.0%
12,Carborundum Universal Ltd.,Metals & Mining,Equity,3.0%
13,Endurance Technologies Ltd.,Automobile,Equity,2.9%
14,TTK Prestige Ltd.,Consumer Discretionary,Equity,2.8%
15,Blue Star Ltd.,Consumer Discretionary,Equity,2.7%
16,Page Industries Ltd.,Textiles,Equity,2.5%
17,Archean Chemical Industries Ltd.,Chemicals,Equity,2.3%
18,Navin Fluorine International Ltd.,Chemicals,Equity,2.3%
19,Deepak Nitrite Ltd.,Chemicals,Equity,2.2%
20,Paradeep Phosphates Ltd.,Chemicals,Equity,2.1%
21,V-Guard Industries Ltd.,Consumer Discretionary,Equity,2.0%
22,Go Fashion (India) Ltd.,Services,Equity,1.9%
23,V-Mart Retail Ltd.,Services,Equity,1.9%
24,Sona BLW Precision Forgings Ltd.,Automobile,Equity,1.8%
25,Life Insurance Corporation of India,Insurance,Equity,1.7%
26,GR Infraprojects Ltd.,Construction,Equity,1.7%
27,Mrs. Bectors Food Specialities Ltd.,Consumer Staples,Equity,1.6%
28,Vedant Fashions Ltd.,Services,Equity,1.6%
29,United Breweries Ltd.,Consumer Staples,Equity,1.5%
30,Kalpataru Power Transmission Ltd.,Capital Goods,Equity,1.3%
31,NHPC Ltd.,Energy,Equity,1.0%
32,Relaxo Footwears Ltd.,Consumer Staples,Equity,1.0%
33,GOI,Sovereign,GOI Sec,0.9%
34,Reserve Bank of India,Financial,T-Bills,0.9%
35,Aether Industries Ltd.,Chemicals,Equity,0.6%
