,Name,Sector,Instrument,Assets
0,State Bank of India,Financial,Equity,13.5%
1,NTPC Ltd.,Energy,Equity,9.6%
2,Indian Bank,Financial,Equity,6.8%
3,Bank Of Baroda,Financial,Equity,5.3%
4,GAIL (India) Ltd.,Energy,Equity,5.2%
5,Power Grid Corporation Of India Ltd.,Energy,Equity,4.3%
6,National Aluminium Company Ltd.,Metals & Mining,Equity,4.1%
7,Bank of India,Financial,Equity,3.9%
8,Canara Bank,Financial,Equity,3.4%
9,Hindustan Copper Ltd.,Metals & Mining,Equity,3.3%
10,Mazagon Dock Shipbuilders Ltd.,Capital Goods,Equity,3.3%
11,Punjab National Bank,Financial,Equity,3.2%
12,Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,Equity,3.2%
13,Bharat Petroleum Corporation Ltd.,Energy,Equity,3.2%
14,Steel Authority Of India Ltd.,Metals & Mining,Equity,2.9%
15,Oil & Natural Gas Corporation Ltd.,Energy,Equity,2.9%
16,NMDC Ltd.,Metals & Mining,Equity,2.9%
17,Coal India Ltd.,Energy,Equity,2.7%
18,Hindustan Aeronautics Ltd.,Capital Goods,Equity,2.5%
19,Housing & Urban Development Corporation Ltd.,Financial,Equity,2.5%
20,Rites Ltd.,Construction,Equity,2.3%
21,Indian Oil Corporation Ltd.,Energy,Equity,1.9%
