,Name,Sector,Instrument,Assets
0,Blue Star Ltd.,Consumer Discretionary,Equity,4.2%
1,Triveni Turbine Ltd.,Capital Goods,Equity,3.2%
2,Carborundum Universal Ltd.,Metals & Mining,Equity,3.1%
3,Kalpataru Power Transmission Ltd.,Capital Goods,Equity,3.1%
4,Elgi Equipments Ltd.,Capital Goods,Equity,2.8%
5,V-Guard Industries Ltd.,Consumer Discretionary,Equity,2.7%
6,TTK Prestige Ltd.,Consumer Discretionary,Equity,2.6%
7,Finolex Industries Ltd.,Chemicals,Equity,2.6%
8,Vedant Fashions Ltd.,Services,Equity,2.6%
9,Lemon Tree Hotels Ltd.,Services,Equity,2.5%
10,PVR Ltd.,Services,Equity,2.3%
11,Chalet Hotels Ltd.,Services,Equity,2.3%
12,Timken India Ltd.,Capital Goods,Equity,2.1%
13,Esab India Ltd.,Capital Goods,Equity,2.0%
14,Sheela Foam Ltd.,Consumer Discretionary,Equity,2.0%
15,Global Health Ltd.,Healthcare,Equity,2.0%
16,City Union Bank Ltd.,Financial,Equity,1.9%
17,Fine Organic Industries Ltd.,Chemicals,Equity,1.9%
18,Westlife Foodworld Ltd.,Services,Equity,1.9%
19,Navin Fluorine International Ltd.,Chemicals,Equity,1.9%
20,Rajratan Global Wire Ltd.,Metals & Mining,Equity,1.8%
21,GR Infraprojects Ltd.,Construction,Equity,1.7%
22,Grindwell Norton Ltd.,Metals & Mining,Equity,1.7%
23,ZF Commercial Vehicle Control Systems India Ltd.,Automobile,Equity,1.7%
24,CSB Bank Ltd.,Financial,Equity,1.7%
25,Ahluwalia Contracts (India) Ltd.,Construction,Equity,1.7%
26,SJVN Ltd.,Energy,Equity,1.6%
27,LIC Housing Finance Ltd.,Financial,Equity,1.6%
28,Archean Chemical Industries Ltd.,Chemicals,Equity,1.6%
29,Hatsun Agro Product Ltd.,Consumer Staples,Equity,1.6%
30,CMS Info Systems Ltd.,Services,Equity,1.5%
31,Hawkins Cookers Ltd.,Consumer Discretionary,Equity,1.5%
32,VST Industries Ltd.,Consumer Staples,Equity,1.4%
33,KNR Constructions Ltd.,Construction,Equity,1.3%
34,Dodla Dairy Ltd,Consumer Staples,Equity,1.1%
35,Ratnamani Metals & Tubes Ltd.,Metals & Mining,Equity,1.1%
36,Brigade Enterprises Ltd.,Construction,Equity,1.0%
37,V-Mart Retail Ltd.,Services,Equity,1.0%
38,Go Fashion (India) Ltd.,Services,Equity,1.0%
39,Star Cement Ltd.,Construction,Equity,1.0%
40,Relaxo Footwears Ltd.,Consumer Staples,Equity,1.0%
41,Chemplast Sanmar Ltd.,Chemicals,Equity,0.9%
42,Rossari Biotech Ltd.,Chemicals,Equity,0.8%
43,Nuvoco Vistas Corporation Ltd.,Construction,Equity,0.7%
44,Divi's Laboratories Ltd.,Healthcare,Equity,0.7%
45,GE T&D India Ltd.,Capital Goods,Equity,0.6%
46,Engineers India Ltd.,Construction,Equity,0.6%
47,Gujarat State Petronet Ltd.,Energy,Equity,0.5%
48,Garware Technical Fibres Ltd.,Textiles,Equity,0.4%
49,Alembic Ltd.,Healthcare,Equity,0.4%
50,Thangamayil Jewellery Ltd.,Consumer Discretionary,Equity,0.4%
51,Anand Rathi Wealth Ltd.,Financial,Equity,0.4%
52,Zydus Wellness Ltd.,Consumer Staples,Equity,0.2%
53,Shreno Ltd.,Construction,Equity,0.1%
