,Name,Sector,Instrument,Assets
0,Infosys Ltd.,Technology,Equity,27.4%
1,Tata Consultancy Services Ltd.,Technology,Equity,14.6%
2,Bharti Airtel Ltd.,Communication,Equity,9.3%
3,Tech Mahindra Ltd.,Technology,Equity,7.8%
4,HCL Technologies Ltd.,Technology,Equity,4.2%
5,Wipro Ltd.,Technology,Equity,4.0%
6,PVR Ltd.,Services,Equity,3.9%
7,NetFlix Inc. (USA),Services,Forgn. Eq,3.8%
8,Persistent Systems Ltd.,Technology,Equity,3.3%
9,Microsoft Corportion (US),Technology,Forgn. Eq,3.2%
10,FSN E-Commerce Ventures Ltd.,Services,Equity,2.5%
11,Delhivery Ltd.,Services,Equity,2.4%
12,Firstsource Solutions Ltd.,Services,Equity,2.2%
13,Zomato Ltd.,Services,Equity,2.0%
14,Oracle Financial Services Software Ltd.,Technology,Equity,1.6%
15,eMudhra Ltd.,Services,Equity,0.8%
16,Newgen Software Technologies Ltd.,Technology,Equity,0.3%
