,Name,Sector,Instrument,Assets
0,Multi Commodity Exchange Of India Ltd.,Services,Equity,3.5%
1,Central Depository Services (India) Ltd.,Financial,Equity,3.1%
2,Procter & Gamble Hygiene and Health Care Ltd.,Consumer Staples,Equity,3.1%
3,Coforge Ltd.,Technology,Equity,3.1%
4,Jubilant FoodWorks Ltd.,Services,Equity,3.0%
5,Emami Ltd.,Consumer Staples,Equity,3.0%
6,Mphasis Ltd.,Technology,Equity,2.9%
7,Computer Age Management Services Ltd.,Services,Equity,2.8%
8,Suven Pharmaceuticals Ltd.,Healthcare,Equity,2.7%
9,Balkrishna Industries Ltd.,Automobile,Equity,2.7%
10,AU Small Finance Bank Ltd.,Financial,Equity,2.7%
11,Aditya Birla Capital Ltd.,Financial,Equity,2.6%
12,Ajanta Pharma Ltd.,Healthcare,Equity,2.5%
13,Vinati Organics Ltd.,Chemicals,Equity,2.5%
14,Devyani International Ltd.,Services,Equity,2.5%
15,Pfizer Ltd.,Healthcare,Equity,2.4%
16,Poonawalla Fincorp Ltd.,Financial,Equity,2.0%
17,L&T Technology Services Ltd.,Technology,Equity,1.9%
18,Coromandel International Ltd.,Chemicals,Equity,1.8%
19,Colgate-Palmolive (India) Ltd.,Consumer Staples,Equity,1.7%
20,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,1.7%
21,KFin Technologies Ltd.,Financial,Equity,1.6%
22,Crisil Ltd.,Services,Equity,1.3%
23,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,0.9%
24,Godrej Industries Ltd.,Diversified,Equity,0.5%
25,Grindwell Norton Ltd.,Metals & Mining,Equity,0.4%
26,Honeywell Automation India Ltd.,Capital Goods,Equity,0.4%
27,Supreme Industries Ltd.,Chemicals,Equity,0.3%
28,3M India Ltd.,Diversified,Equity,0.3%
29,Abbott India Ltd.,Healthcare,Equity,0.3%
30,RHI Magnesita India Ltd.,Construction,Equity,0.2%
31,Indian Energy Exchange Ltd.,Services,Equity,0.1%
32,APL Apollo Tubes Ltd.,Metals & Mining,Equity,0.1%
33,Persistent Systems Ltd.,Technology,Equity,0.1%
