,Name,Sector,Instrument,Assets
0,Tata Consultancy Services Ltd.,Technology,Equity,8.2%
1,Bajaj Finserv Ltd.,Financial,Equity,7.6%
2,Bajaj Finance Ltd.,Financial,Equity,7.5%
3,Coforge Ltd.,Technology,Equity,6.9%
4,Computer Age Management Services Ltd.,Services,Equity,5.3%
5,LTIMindtree Ltd.,Technology,Equity,5.0%
6,Aditya Birla Capital Ltd.,Financial,Equity,5.0%
7,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,4.9%
8,L&T Technology Services Ltd.,Technology,Equity,4.5%
9,Jubilant FoodWorks Ltd.,Services,Equity,4.5%
10,Dabur India Ltd.,Consumer Staples,Equity,4.4%
11,Pidilite Industries Ltd.,Chemicals,Equity,4.3%
12,Supreme Industries Ltd.,Chemicals,Equity,4.2%
13,ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,3.7%
14,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,3.6%
15,Asian Paints Ltd.,Chemicals,Equity,3.5%
16,Godrej Consumer Products Ltd.,Consumer Staples,Equity,3.0%
17,Divi's Laboratories Ltd.,Healthcare,Equity,2.5%
18,Microsoft Corportion (US),Technology,Forgn. Eq,1.5%
19,Balkrishna Industries Ltd.,Automobile,Equity,1.5%
20,Novo Nordisk A/S,Healthcare,Forgn. Eq,1.4%
21,Facebook Co,Services,Forgn. Eq,1.1%
22,Alphabet Inc Class C,Services,Forgn. Eq,0.9%
23,Mastercard Inc,Financial,Forgn. Eq,0.7%
24,Idexx Laboratories Inc.,Healthcare,Forgn. Eq,0.6%
