,Name,Sector,Instrument,Assets
0,Hindustan Unilever Ltd.,Consumer Staples,Equity,9.4%
1,ITC Ltd.,Consumer Staples,Equity,6.4%
2,Bharti Airtel Ltd.,Communication,Equity,6.2%
3,Titan Company Ltd.,Consumer Discretionary,Equity,6.2%
4,Maruti Suzuki India Ltd.,Automobile,Equity,5.4%
5,United Spirits Ltd.,Consumer Staples,Equity,3.9%
6,Safari Industries (India) Ltd.,Chemicals,Equity,3.5%
7,Mahindra & Mahindra Ltd.,Automobile,Equity,3.2%
8,State Bank of India,Financial,Equity,3.1%
9,Eicher Motors Ltd.,Automobile,Equity,3.0%
10,Asian Paints Ltd.,Chemicals,Equity,3.0%
11,Nestle India Ltd.,Consumer Staples,Equity,2.9%
12,Page Industries Ltd.,Textiles,Equity,2.6%
13,Varun Beverages Ltd.,Consumer Staples,Equity,2.4%
14,Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,2.4%
15,FSN E-Commerce Ventures Ltd.,Services,Equity,2.2%
16,Kalyan Jewellers India Ltd.,Consumer Discretionary,Equity,2.1%
17,Brigade Enterprises Ltd.,Construction,Equity,2.0%
18,Britannia Industries Ltd.,Consumer Staples,Equity,1.9%
19,Westlife Foodworld Ltd.,Services,Equity,1.9%
20,Godrej Consumer Products Ltd.,Consumer Staples,Equity,1.7%
21,PVR Ltd.,Services,Equity,1.7%
22,Devyani International Ltd.,Services,Equity,1.7%
23,Zee Entertainment Enterprises Ltd.,Services,Equity,1.6%
24,Electronics Mart India Ltd.,Services,Equity,1.6%
25,United Breweries Ltd.,Consumer Staples,Equity,1.5%
26,Butterfly Gandhimathi Appliances Ltd.,Consumer Discretionary,Equity,1.4%
27,Avenue Supermarts Ltd.,Services,Equity,1.4%
28,Johnson Controls - Hitachi Air Conditioning India Ltd.,Consumer Discretionary,Equity,1.4%
29,Info Edge (India) Ltd.,Services,Equity,1.3%
30,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,1.2%
31,Hatsun Agro Product Ltd.,Consumer Staples,Equity,1.2%
32,UTI Asset Management Company Ltd.,Financial,Equity,1.1%
33,Sheela Foam Ltd.,Consumer Discretionary,Equity,1.0%
34,Somany Ceramics Ltd.,Construction,Equity,0.5%
35,Greenpanel Industries Ltd.,Consumer Staples,Equity,0.2%
