,Name,Sector,Instrument,Assets
0,ICICI Bank Ltd.,Financial,Equity,7.5%
1,Reliance Industries Ltd.,Energy,Equity,6.6%
2,HDFC Bank Ltd.,Financial,Equity,6.2%
3,Infosys Ltd.,Technology,Equity,5.1%
4,Housing Development Finance Corporation Ltd.,Financial,Equity,4.5%
5,State Bank of India,Financial,Equity,4.0%
6,Tata Consultancy Services Ltd.,Technology,Equity,3.3%
7,Axis Bank Ltd.,Financial,Equity,3.2%
8,Ashok Leyland Ltd.,Automobile,Equity,2.8%
9,Larsen & Toubro Ltd.,Construction,Equity,2.6%
10,Polycab India Ltd.,Capital Goods,Equity,2.3%
11,Maruti Suzuki India Ltd.,Automobile,Equity,2.3%
12,Hindustan Unilever Ltd.,Consumer Staples,Equity,2.2%
13,Grindwell Norton Ltd.,Metals & Mining,Equity,2.1%
14,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,2.0%
15,Jubilant FoodWorks Ltd.,Services,Equity,2.0%
16,Tata Motors Ltd.,Automobile,Equity,1.9%
17,ICRA Ltd.,Services,Equity,1.9%
18,Bharti Airtel Ltd.,Communication,Equity,1.7%
19,Interglobe Aviation Ltd.,Services,Equity,1.6%
20,Bajaj Finserv Ltd.,Financial,Equity,1.6%
21,Ultratech Cement Ltd.,Construction,Equity,1.6%
22,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,1.5%
23,The Federal Bank Ltd.,Financial,Equity,1.4%
24,Canara Bank,Financial,Equity,1.2%
25,Oberoi Realty Ltd.,Construction,Equity,1.2%
26,Navin Fluorine International Ltd.,Chemicals,Equity,1.2%
27,ABB India Ltd.,Capital Goods,Equity,1.2%
28,Avenue Supermarts Ltd.,Services,Equity,1.1%
29,Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,1.1%
30,LTIMindtree Ltd.,Technology,Equity,1.1%
31,Varun Beverages Ltd.,Consumer Staples,Equity,1.1%
32,Bank Of Baroda,Financial,Equity,1.1%
33,Titan Company Ltd.,Consumer Discretionary,Equity,1.0%
34,Page Industries Ltd.,Textiles,Equity,1.0%
35,Max Financial Services Ltd.,Financial,Equity,1.0%
36,Coforge Ltd.,Technology,Equity,0.9%
37,Schaeffler India Ltd.,Capital Goods,Equity,0.8%
38,Clean Science And Technology Ltd.,Chemicals,Equity,0.8%
39,Sona BLW Precision Forgings Ltd.,Automobile,Equity,0.7%
40,Tata Consumer Products Ltd.,Consumer Staples,Equity,0.7%
41,Indusind Bank Ltd.,Financial,Equity,0.7%
42,Wipro Ltd.,Technology,Equity,0.7%
43,Jindal Steel & Power Ltd.,Metals & Mining,Equity,0.7%
44,Zydus Wellness Ltd.,Consumer Staples,Equity,0.7%
45,CE Info Systems Ltd.,Technology,Equity,0.6%
46,United Breweries Ltd.,Consumer Staples,Equity,0.6%
47,ITC Ltd.,Consumer Staples,Equity,0.6%
48,Britannia Industries Ltd.,Consumer Staples,Equity,0.5%
49,Fortis Healthcare Ltd.,Healthcare,Equity,0.5%
50,Sapphire Foods India Ltd.,Services,Equity,0.5%
51,Can Fin Homes Ltd.,Financial,Equity,0.5%
52,United Spirits Ltd.,Consumer Staples,Equity,0.5%
53,Cipla Ltd.,Healthcare,Equity,0.3%
54,Dixon Technologies (India) Ltd.,Capital Goods,Equity,0.2%
55,Voltas Ltd.,Consumer Discretionary,Equity,0.2%
56,Tata Steel Ltd.,Metals & Mining,Equity,0.2%
57,BEML Land Assets Ltd.,Services,Equity,0.1%
