,Name,Sector,Instrument,Assets
0,HDFC Bank Ltd.,Financial,Equity,5.7%
1,Infosys Ltd.,Technology,Equity,5.2%
2,NTPC Ltd.,Energy,Equity,4.7%
3,ICICI Bank Ltd.,Financial,Equity,4.4%
4,Reliance Industries Ltd.,Energy,Equity,3.6%
5,ITC Ltd.,Consumer Staples,Equity,3.6%
6,Tata Consultancy Services Ltd.,Technology,Equity,3.2%
7,Hindustan Unilever Ltd.,Consumer Staples,Equity,3.0%
8,HCL Technologies Ltd.,Technology,Equity,3.0%
9,State Bank of India,Financial,Equity,2.8%
10,Larsen & Toubro Ltd.,Construction,Equity,2.6%
11,Tech Mahindra Ltd.,Technology,Equity,2.3%
12,Bharat Electronics Ltd.,Capital Goods,Equity,2.3%
13,Ultratech Cement Ltd.,Construction,Equity,2.3%
14,Ashok Leyland Ltd.,Automobile,Equity,1.9%
15,Power Grid Corporation Of India Ltd.,Energy,Equity,1.9%
16,Canara Bank,Financial,Equity,1.7%
17,Indusind Bank Ltd.,Financial,Equity,1.6%
18,AIA Engineering Ltd.,Metals & Mining,Equity,1.5%
19,Tata Steel Ltd.,Metals & Mining,Equity,1.5%
20,Coal India Ltd.,Energy,Equity,1.5%
21,Navin Fluorine International Ltd.,Chemicals,Equity,1.4%
22,Cummins India Ltd.,Capital Goods,Equity,1.4%
23,Bharti Airtel Ltd.,Communication,Equity,1.3%
24,Cyient Ltd.,Technology,Equity,1.3%
25,Multi Commodity Exchange Of India Ltd.,Services,Equity,1.3%
26,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.3%
27,Page Industries Ltd.,Textiles,Equity,1.2%
28,Bajaj Auto Ltd.,Automobile,Equity,1.2%
29,Maruti Suzuki India Ltd.,Automobile,Equity,1.1%
30,Butterfly Gandhimathi Appliances Ltd.,Consumer Discretionary,Equity,1.1%
31,Voltas Ltd.,Consumer Discretionary,Equity,1.1%
32,SRF Ltd.,Diversified,Equity,1.1%
33,Britannia Industries Ltd.,Consumer Staples,Equity,1.1%
34,Coromandel International Ltd.,Chemicals,Equity,1.1%
35,SBI Life Insurance Company Ltd.,Insurance,Equity,1.0%
36,Interglobe Aviation Ltd.,Services,Equity,1.0%
37,Oil & Natural Gas Corporation Ltd.,Energy,Equity,1.0%
38,Container Corporation Of India Ltd.,Services,Equity,1.0%
39,Coforge Ltd.,Technology,Equity,1.0%
40,Kotak Mahindra Bank Ltd.,Financial,Equity,1.0%
41,Bajaj Finserv Ltd.,Financial,Equity,1.0%
42,GAIL (India) Ltd.,Energy,Equity,0.9%
43,Hindustan Petroleum Corporation Ltd.,Energy,Equity,0.9%
44,VST Industries Ltd.,Consumer Staples,Equity,0.8%
45,Sanofi India Ltd.,Healthcare,Equity,0.8%
46,Tata Motors Ltd.,Automobile,Equity,0.8%
47,NHPC Ltd.,Energy,Equity,0.8%
48,Sheela Foam Ltd.,Consumer Discretionary,Equity,0.7%
49,Sundaram-Clayton Ltd.,Automobile,Equity,0.6%
50,Persistent Systems Ltd.,Technology,Equity,0.5%
51,Divi's Laboratories Ltd.,Healthcare,Equity,0.5%
52,ICICI Securities Ltd.,Financial,Equity,0.3%
53,Sundaram Clayton Limited,Automobile,Pref. Shares,0.2%
