,Name,Sector,Instrument,Assets
0,ICICI Bank Ltd.,Financial,Equity,19.7%
1,HDFC Bank Ltd.,Financial,Equity,15.6%
2,State Bank of India,Financial,Equity,9.0%
3,Axis Bank Ltd.,Financial,Equity,8.6%
4,Housing Development Finance Corporation Ltd.,Financial,Equity,7.5%
5,Canara Bank,Financial,Equity,3.2%
6,Bank Of Baroda,Financial,Equity,3.1%
7,Indusind Bank Ltd.,Financial,Equity,3.0%
8,CSB Bank Ltd.,Financial,Equity,2.2%
9,SBI Life Insurance Company Ltd.,Insurance,Equity,2.1%
10,Equitas Small Finance Bank Ltd.,Financial,Equity,2.0%
11,CreditAccess Grameen Ltd.,Financial,Equity,1.9%
12,Home First Finance Company India Ltd.,Financial,Equity,1.7%
13,Ujjivan Financial Services Ltd.,Financial,Equity,1.5%
14,Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,1.4%
15,Cholamandalam Financial Holdings Ltd.,Financial,Equity,1.3%
16,Multi Commodity Exchange Of India Ltd.,Services,Equity,1.3%
17,Angel One Ltd.,Financial,Equity,1.2%
18,LIC Housing Finance Ltd.,Financial,Equity,1.0%
19,Bajaj Finance Ltd.,Financial,Equity,1.0%
20,HDFC Life Insurance Co Ltd.,Insurance,Equity,0.9%
21,AU Small Finance Bank Ltd.,Financial,Equity,0.9%
22,Kotak Mahindra Bank Ltd.,Financial,Equity,0.7%
23,Power Finance Corporation Ltd.,Financial,Equity,0.7%
24,ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,0.6%
