,Name,Sector,Instrument,Assets
0,Larsen & Toubro Ltd.,Construction,Equity,9.7%
1,Bharti Airtel Ltd.,Communication,Equity,6.1%
2,Reliance Industries Ltd.,Energy,Equity,5.8%
3,Ultratech Cement Ltd.,Construction,Equity,5.2%
4,ICICI Bank Ltd.,Financial,Equity,5.0%
5,NTPC Ltd.,Energy,Equity,4.9%
6,KSB Ltd.,Capital Goods,Equity,3.2%
7,State Bank of India,Financial,Equity,3.0%
8,ABB India Ltd.,Capital Goods,Equity,2.6%
9,Grindwell Norton Ltd.,Metals & Mining,Equity,2.5%
10,Esab India Ltd.,Capital Goods,Equity,2.2%
11,Power Grid Corporation Of India Ltd.,Energy,Equity,2.1%
12,Bharat Electronics Ltd.,Capital Goods,Equity,2.1%
13,PNC Infratech Ltd.,Construction,Equity,2.1%
14,Siemens Ltd.,Capital Goods,Equity,2.0%
15,Ashok Leyland Ltd.,Automobile,Equity,2.0%
16,Polycab India Ltd.,Capital Goods,Equity,1.9%
17,NCC Ltd.,Construction,Equity,1.9%
18,Container Corporation Of India Ltd.,Services,Equity,1.7%
19,Honeywell Automation India Ltd.,Capital Goods,Equity,1.7%
20,Triveni Turbine Ltd.,Capital Goods,Equity,1.6%
21,KNR Constructions Ltd.,Construction,Equity,1.5%
22,Kei Industries Ltd.,Capital Goods,Equity,1.4%
23,Dalmia Bharat Ltd.,Construction,Equity,1.4%
24,APL Apollo Tubes Ltd.,Metals & Mining,Equity,1.4%
25,JK Cement Ltd.,Construction,Equity,1.3%
26,Cummins India Ltd.,Capital Goods,Equity,1.3%
27,Schaeffler India Ltd.,Capital Goods,Equity,1.3%
28,Tata Power Company Ltd.,Energy,Equity,1.2%
29,GAIL (India) Ltd.,Energy,Equity,1.2%
30,Shree Cement Ltd.,Construction,Equity,1.1%
31,GMM Pfaudler Ltd.,Capital Goods,Equity,1.1%
32,Sona BLW Precision Forgings Ltd.,Automobile,Equity,1.0%
33,Oil & Natural Gas Corporation Ltd.,Energy,Equity,1.0%
34,Maruti Suzuki India Ltd.,Automobile,Equity,1.0%
35,Brigade Enterprises Ltd.,Construction,Equity,1.0%
36,Bharat Petroleum Corporation Ltd.,Energy,Equity,1.0%
37,Interglobe Aviation Ltd.,Services,Equity,1.0%
38,Oberoi Realty Ltd.,Construction,Equity,1.0%
39,Hindustan Aeronautics Ltd.,Capital Goods,Equity,1.0%
40,MTAR Technologies Ltd.,Capital Goods,Equity,0.9%
41,Prestige Estates Projects Ltd.,Construction,Equity,0.9%
42,BEML Ltd.,Capital Goods,Equity,0.9%
43,Bharat Heavy Electricals Ltd.,Capital Goods,Equity,0.8%
44,Hindalco Industries Ltd.,Metals & Mining,Equity,0.8%
45,Greenpanel Industries Ltd.,Consumer Staples,Equity,0.6%
46,GR Infraprojects Ltd.,Construction,Equity,0.6%
47,Mahindra Logistics Ltd.,Services,Equity,0.5%
48,BEML Land Assets Ltd.,Services,Equity,0.1%
